Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,19-May-2025 09:00 AM,03-Jun-2025 11:00 AM,19-May-2025 09:00 AM,02-Jun-2025 05:00 PM,NA ,NA ,19-May-2025 09:00 AM,02-Jun-2025 05:00 PM,S.E Nayagarh,"O/O The S.E Nayagarh Irrigation Division, Nayagarh","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",BID IDENTIFICATION NO.SE_02_NGR_OF 2025-26,2025_CELBB_113496_10,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Restoration to Kuanria Right bank near Durga bazar Shiva temple, Daspalla for the year 2025-26 (RD 6490m to 6630m)","Restoration to Kuanria Right bank near Durga bazar Shiva temple, Daspalla for the year 2025-26 (RD 6490m to 6630m)",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,NA ,NAYAGARH,752069.0,NA ,NA ,NA ,"S.E Nayagarh Irrigation Division, Nayagarh",No ,No,1.0,ICICI BANK,"21,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID CDMS,GST,PAN,REG CERTIFICATE, NO RELATION,AFFIDEFIT, OTHER DOCUMENT AS DTCN",AOC,SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",ARATI PRADHAN,03-Oct-2025 11:48 AM,finsummary_539774.pdf (227.92 KB),SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",ARATI PRADHAN,18-Sep-2025 11:53 AM,techsummary_539774.pdf (227.92 KB),03-Oct-2025,"INR 1,813,724.72",180.0,Baikuntha Dalai,06-Oct-2025 05:41 PM,10.pdf (735.00 KB),AOC,1,2948632,ABINASH JENA,02-Jun-2025 02:09 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",2025_CELBB_113496_10,BID IDENTIFICATION NO.SE_02_NGR_OF 2025-26,"Restoration to Kuanria Right bank near Durga bazar Shiva temple, Daspalla for the year 2025-26 (RD 6490m to 6630m)",1.0,2948200.0,Surya Narayan Dalabehera,INR,"1,813,724.72",Finance,Out of total 58 nos of bidders 58 nos of bidders Technically qualified for opening of financial bid.,ARATI PRADHAN,18-Sep-2025 11:46 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,2,2947550,AJAYA KUMAR SAHOO,02-Jun-2025 10:57 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2940056,AJIT KUMAR JENA,30-May-2025 10:42 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2943190,ASHOK KUMAR PATNAIK,30-May-2025 08:53 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2943598,ASWINI KUMAR BEHERA,31-May-2025 08:56 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2939865,BAIKUNTHA PARIDA,29-May-2025 11:58 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2948219,BALABHADRA ROUT,02-Jun-2025 12:28 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2943110,BIRANCHI NARAYAN PATTANAYAK,30-May-2025 05:49 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2942469,BIRANCHI NARAYAN PRADHAN,31-May-2025 02:53 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2938578,BISWARANJAN ROUTRAY,28-May-2025 06:55 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,06-Oct-2025 05:41 PM,,,,,,,,,,,,,,,,AOC
