Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Accepted,Pratima Naik,18-Sep-2025 11:03 AM,,BOQ Comparative Chart,1.0,3068971.0,SUSHREE SANGITA DASH,INR,"1,281,888",CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,2025_CERWI_117596_1,Online SEJSG 05 of 2025-26,Repair and Renovation of Revenue Rest Shed under Laikera Tahasil at Laikera in the district of Jharsuguda for the year 2025-26,Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,14-Oct-2025 11:37 AM,finsummary_551177.pdf (25.84 KB),Superintending Engineer,Internal,"AEE, DAO, JE Estimator",Pratima Naik,14-Oct-2025 11:30 AM,techsummary_551177.pdf (25.84 KB),28-Oct-2025,"INR 1,281,888",90.0,Binod Bihari Chhuria,30-Oct-2025 11:55 AM,4001.pdf (875.00 KB),Work order for the work Repair and Renovation of Revenue Rest Shed under Laikera Tahasil atLaikera in the district of Jharsuguda for the year 2025-26,1,3070247,ALOK KUMAR SAHU,08-Sep-2025 08:17 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GSTN No. EMD, Affidavit Online Cost of tender paper etc. as per DTCN",03-Sep-2025 01:00 PM,11-Sep-2025 11:00 AM,03-Sep-2025 01:00 PM,10-Sep-2025 05:00 PM,03-Sep-2025 01:00 PM ,08-Sep-2025 05:00 PM ,03-Sep-2025 01:00 PM,10-Sep-2025 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Repair and Renovation of Revenue Rest Shed under Laikera Tahasil at Laikera in the district of Jharsuguda for the year 2025-26,Repair and Renovation of Revenue Rest Shed under Laikera Tahasil at Laikera in the district of Jharsuguda for the year 2025-26,NA ,NA ,"15,07,926",Civil Works - Buildings,NA ,Tender,90.0,90.0,Jharsuguda,768204.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JHARSUGUDA",No ,No,Superintending Engineer,"RURAL WORKS DIVISION, JHARSUGUDA",CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,Online SEJSG 05 of 2025-26,2025_CERWI_117596_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"15,079",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3073057,Ananda Kumar Sharma,10-Sep-2025 12:33 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,.xls,Boq,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3067100,BHAGABANA BHOL,08-Sep-2025 07:31 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3073473,BHAGABATI SOHELA,10-Sep-2025 11:31 AM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3073583,BIRENDRA SAHU,10-Sep-2025 12:00 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3073607,DEVI PRASAD MOHAPATRA,10-Sep-2025 12:20 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3073059,KIRTI CHANDRA BOHIDAR,10-Sep-2025 12:49 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3074232,KRISHNA KUMAR SINHA,10-Sep-2025 03:03 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3068877,MAA CONSTRUCTION,09-Sep-2025 12:03 PM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3073520,Prakash Chandra Jena,10-Sep-2025 11:54 AM,Rejected-AOC,Unsuccessful,30-Oct-2025 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
