S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"District Manager, OSCSC Ltd., Deogarh","O/o- District Manager, OSCSC Ltd., Deogarh, New Baliroi, Deogarh",1.0,Fee/PreQual/Technical,.pdf,NIT,Selection and appointment of Level-II Contractor for transportation of Custom Milled Rice (CMR) from Rice Receiving Centre(RRC) to Retail Centre (FPS) in Barkote Block,Selection and appointment of Level-II Contractor for transportation of Custom Milled Rice (CMR) from Rice Receiving Centre(RRC) to Retail Centre (FPS) in Barkote Block.,Please refer Tender Document ,NA ,,Handling and Transportation,NA ,Tender,120.0,638.0,Barkote,768110.0,"O/o- District Manager, OSCSC Ltd., Deogarh ","O/o- District Manager, OSCSC Ltd., Deogarh, New Baliroi, Deogarh  ",01-Jul-2025 11:00 AM ,"Collectorate Conference Hall, Deogarh",No ,No,1.0,MODIFICATION OF CLAUSE,Other,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Deogarh,1734/20.06.2025 (Level-II / Barkote Unit),2025_OSCSC_114742_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,25-Jun-2025 11:00 AM,18-Jul-2025 11:00 AM,25-Jun-2025 11:00 AM,17-Jul-2025 05:00 PM,NA ,NA ,25-Jun-2025 11:00 AM,17-Jul-2025 05:00 PM,31-Jul-2025 04:00 PM,"1,93,106",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,AOC,06-Oct-2025,"INR 3,862,128",638.0,Kishore Chandra Maharana,09-Oct-2025 01:47 PM,AOC.pdf (1206.00 KB),"THE AWARD OF CONTRACT IS HEREBY ACCORDED IN FAVOUR OF SRI MARDARAJ PRADHAN, THE L1 BIDDER TO ACT AS LEVEL-II TC",1.0,2997809.0,KHITISWAR SAHU,17-Jul-2025 01:40 PM,Rejected-Finance,Highest Bid (Quoted 35.31),06-Oct-2025 01:11 PM,"Collector, Deogarh",Internal,"DLO, Deogarh, DSWO, Deogarh, RTO, Deogarh and CSO-cum-District Manager, OSCSC Ltd., Deogarh",Kedarnath Nayak,30-Jul-2025 12:41 PM,31-Jul-2025 04:00 PM,techsummary_544010.pdf (964.02 KB),Finance,Admitted,Kedarnath Nayak,06-Oct-2025 12:29 PM,,BOQ Comparative Chart,Technical,There were participated two bidders in tender process namely Khiteswar Sahu and Mardaraj Pradhan. Both are qualified in Technical Bid by the DLTC.,Kedarnath Nayak,30-Jul-2025 11:58 AM,technical_544010.pdf,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Deogarh,2025_OSCSC_114742_1,1734/20.06.2025 (Level-II / Barkote Unit),Selection and appointment of Level-II Contractor for transportation of Custom Milled Rice (CMR) from Rice Receiving Centre(RRC) to Retail Centre (FPS) in Barkote Block,"Collector, Deogarh",Internal,"DLO,DSWO, RTO,CSO-cum-DM",Kedarnath Nayak,06-Oct-2025 01:11 PM,finsummary_544010.pdf (884.12 KB),1.0,2998597.0,MARDARAJ PRADHAN,INR,34.52,AOC
2.0,ICICI NEFT/RTGS,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,2998597.0,MARDARAJ PRADHAN,17-Jul-2025 02:11 PM,Accepted-AOC,THE L1 BIDDER SELECTED BY DLTC AND APPROVED IN NEGOTIATION,09-Oct-2025 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
