Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
ChiefConstructionEngineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",11-Jan-2025 09:00 AM,29-Jan-2025 11:00 AM,11-Jan-2025 09:00 AM,28-Jan-2025 05:00 PM,NA ,NA ,11-Jan-2025 09:00 AM,28-Jan-2025 05:00 PM,15-Apr-2025 05:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-25 of 2024,2025_CERWI_109057_46,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"6,41,796",Yes,percentage,1.0%,Nil,Nil,Improvement of Chanahat - Rada Deuli road Dalavanpur Rajash under MMSY-Improvement to Existing RD road in the Dist. of Khordha for the year 2024-25,Improvement of Chanahat - Rada Deuli road Dalavanpur Rajash under MMSY-Improvement to Existing RD road in the Dist. of Khordha for the year 2024-25,Please refer Tender documents. ,NA ,"6,41,79,636",Civil Works - Roads,NA ,Tender,90.0,270.0,Bhubaneswar,751022.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,1.0,Other Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",AOC,Technical,10 nos bidder participated in the tender,Kumari Suvalaxmi,02-Feb-2025 12:56 PM,,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionIINayagarh SrDAORWDivision Bhubaneswar PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Priyambada Swain,23-Oct-2025 04:38 PM,finsummary_523841.pdf (253.46 KB),Finance,10 nos bidder qualified in the tender,Mausumi Mishra,15-Apr-2025 08:16 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionII Nayagarh SrDAORWDivision Bhubaneswar PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,09-Apr-2025 02:03 PM,15-Apr-2025 05:00 PM,techsummary_523841.pdf (1347.82 KB),23-Oct-2025,"INR 54,559,109",270.0,Priyambada Swain,23-Oct-2025 04:44 PM,ChanahatAgmtDetails.pdf (2421.00 KB),"Work order letter No.8339 dtd.08.10.2025 and Agmt No.41 P1 of 2025-26 dtd.08.10.2025 of Superintending Engineer, Rural Works Division, Bhubaneswar",1,2783167,ACP CONSTRUCTION,28-Jan-2025 12:28 PM,Accepted-AOC,Accepted,23-Oct-2025 04:44 PM,1.0,2783167.0,ACP CONSTRUCTION,INR,"54,559,109",CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_109057_46,Tender Online C.C-25 of 2024,Improvement of Chanahat - Rada Deuli road Dalavanpur Rajash under MMSY-Improvement to Existing RD road in the Dist. of Khordha for the year 2024-25,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2783766,BASUDEV CONTECH INDIA PRIVATE LIMITED,28-Jan-2025 02:46 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2778093,BICHITRANANDA SAMANTARAY,27-Jan-2025 09:41 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2777339,evertex projects pvt ltd,25-Jan-2025 09:27 PM,Rejected-Finance,Other than L1,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2780944,FAYAJ INFRATECH PVT LTD,28-Jan-2025 07:31 AM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2781974,MS GLOBAL CONSTRUCTION,27-Jan-2025 09:40 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2776342,M/S. SAI UNIQUE CONSTRUCTIONS,28-Jan-2025 02:39 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2783083,NILAMADHAB SAHU,28-Jan-2025 12:05 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2783925,Subash Chandra Mohanty,28-Jan-2025 03:46 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2784306,TUSHITA PROJECTS PRIVATE LIMITED,28-Jan-2025 04:56 PM,Rejected-Finance,Other than L1 and L2,23-Oct-2025 04:38 PM,,,,,,,,,,AOC
