S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,3003224.0,ARJUNA SAUNTA,INR,"713,225",Finance,On Opening the bids total 12nos. of bids were found to be received online.Hence 12nos.of bids were found to be valid.,Nihar Ranjan Behera,18-Oct-2025 03:43 PM,finance_545629.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Nihar Ranjan Behera,18-Oct-2025 03:51 PM,finsummary_545629.pdf (131.95 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_115377_5,MIDJEY02/2025-26,Improvement to Dudhari MIP in Semiliguda Block of Koraput District under ERM Grant 2024-25,Superintending Engineer,Internal,,Nihar Ranjan Behera,18-Oct-2025 03:46 PM,techsummary_545629.pdf (131.95 KB),18-Oct-2025,"INR 713,225",60.0,Nihar Ranjan Behera,22-Oct-2025 12:20 PM,Dudhariaoc.pdf (153.00 KB),AOC,1,3003224,ARJUNA SAUNTA,18-Jul-2025 04:13 PM,Accepted-AOC,Accept,22-Oct-2025 12:20 PM,AOC,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY02/2025-26,2025_CEMIB_115377_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to Dudhari MIP in Semiliguda Block of Koraput District under ERM Grant 2024-25,Improvement to Dudhari MIP in Semiliguda Block of Koraput District under ERM Grant 2024-25,Please refer tender documents ,NA ,"8,38,989",Civil Works - Water Works,NA ,Tender,90.0,60.0,Semiliguda,764036.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore","4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN","8,400",Yes,fixed,,Nil,Nil,14-Jul-2025 10:00 AM,24-Jul-2025 11:00 AM,14-Jul-2025 10:00 AM,23-Jul-2025 05:00 PM,NA ,NA ,14-Jul-2025 10:00 AM,23-Jul-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3003460,Dasaratha Khillo,18-Jul-2025 11:20 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3003970,DEBABRATA ROUT,19-Jul-2025 12:55 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3009707,GHANASYAM BISOI,23-Jul-2025 02:05 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3010163,GHENU DURIA,23-Jul-2025 04:11 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3009125,Jagabandhu Hantal,22-Jul-2025 06:57 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3008156,JAGANATH BISOI,22-Jul-2025 10:39 AM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3007536,JOLESH DAMI,21-Jul-2025 06:26 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3004893,KAILASH CHANDRA CHOUDHURY,20-Jul-2025 12:17 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3009038,LIPUN PRADHAN,22-Jul-2025 06:06 PM,Rejected-AOC,Reject,22-Oct-2025 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
