Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, EMD, Contractor RC, GST, PAN, Affidavits, other document as DTCN",1.0,ICICI BANK,"50,300",Yes,fixed,,Nil,Nil,Construction of Peddy Procurement Center at Kabisuryanagar SCS under Kabisuryanagar Block,Building Work,Please refer Tender documents. ,NA ,"50,22,207",Civil Works - Buildings,NA ,Tender,90.0,90.0,At Kabisuryanagar,761104.0,NA ,NA ,NA ,"O/o S.E, Bhanjanagar (RandB) Division",No ,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,S.E.-BNJ-RandB-13/2024-25,2024_EICCL_106103_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,"O/o S.E, Bhanjanagar (RandB) Division","10,000",0.0,Nil,Nil,No,28-Oct-2024 12:00 PM,11-Nov-2024 11:00 AM,28-Oct-2024 12:00 PM,08-Nov-2024 05:00 PM,28-Oct-2024 12:00 PM ,06-Nov-2024 05:00 PM ,28-Oct-2024 12:00 PM,08-Nov-2024 05:00 PM,09-Dec-2024 11:00 AM,AOC,Technical,The tender documents of all bidders as above under technical evaluation.,Amiya Kumar Mishra,12-Nov-2024 05:16 PM,,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,2024_EICCL_106103_4,S.E.-BNJ-RandB-13/2024-25,Construction of Peddy Procurement Center at Kabisuryanagar SCS under Kabisuryanagar Block,Er. S R Parida SE,Internal,,Satya Ranjan Parida,14-Oct-2025 01:06 PM,finsummary_512509.pdf (1126.63 KB),1.0,2629067.0,Sibaram Swain,INR,"4,269,378",1,2631200,Debasish Mishra,08-Nov-2024 12:51 PM,Rejected-AOC,Qualified,14-Oct-2025 01:11 PM,14-Oct-2025,"INR 4,269,378",90.0,Satya Ranjan Parida,14-Oct-2025 01:11 PM,1304aoc.pdf (1511.00 KB),Er. A K Nayak SE,Internal,,Ashis Kumar Nayak,07-Dec-2024 05:40 PM,09-Dec-2024 11:00 AM,techsummary_512509.pdf (235.94 KB),Finance,The tender documents of all bidders as above under process,Amiya Kumar Mishra,09-Dec-2024 06:35 PM,,BOQ Comparative Chart,AOC
,,.pdf,"Proof of ownership (Own/Leased) of machineries, Lease deed, All Schedules, documents as per DTCN.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2631377,Rajendra Kumar Nayak,08-Nov-2024 01:27 PM,Rejected-AOC,Qualified,14-Oct-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2631909,Ramesh Pradhan,08-Nov-2024 03:40 PM,Rejected-AOC,Qualified,14-Oct-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2629067,Sibaram Swain,08-Nov-2024 08:50 AM,Accepted-AOC,After transparent lottery system Sri Sibaram Swain got successful 1st lowest tenderer,14-Oct-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,AOC
