Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
C P Head,"RHEP, Rengali","6,000","1,080",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, TENDER PAPER COST, EMD, CONTRACTOR REGISTRATION CERTIFICATE",24-Jul-2025 10:00 AM,06-Aug-2025 11:30 AM,24-Jul-2025 10:00 AM,05-Aug-2025 05:00 PM,24-Jul-2025 10:00 AM ,30-Jul-2025 01:00 PM ,24-Jul-2025 10:00 AM,05-Aug-2025 05:00 PM,21-Aug-2025 11:30 AM,Odisha Hydro Power Corporation Ltd||Rengali H.E. Project Rengali,RHEP/TCN No.-22/2025-26,2025_OHPCL_115900_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Civil works for installation of 250 LPH commercial RO with chillers and piping network for drinking water at RHEP, Rengali","Civil works for installation of 250 LPH commercial RO with chillers and piping network for drinking water at RHEP, Rengali",Please refer Tender documents ,N/A ,,Civil Works - Others,NA ,Tender,120.0,120.0,"RHEP, Rengali",759105.0,NA ,NA ,NA ,"Office of the CP Head, RHEP, Rengali",No ,No,1.0,ICICI BANK,"22,260",Yes,fixed,,Nil,Nil,AOC,24-Oct-2025,"INR 1,891,756",120.0,LIJARANI BEHERA,28-Oct-2025 12:19 PM,tcc115ro.pdf (97.00 KB),"Work order was placed on M/s Sukanta Charan Behera, At-Katarapali, PO- Balipashi, Dist.-Angul-759105 vide this office work order No.7367/WE dtd.09.10.2025.",1,3023998,ABINASH SWAIN,04-Aug-2025 11:38 PM,Rejected-Technical,Not submitted all the required documents as per tender specification,20-Aug-2025 04:13 PM,CP HEAD,Internal,"B C DANDPAT, MD F ALI AHEMAD, B R JAIN",Subrat Kumar Sarangi,20-Aug-2025 04:13 PM,21-Aug-2025 11:30 AM,techsummary_546934.pdf (145.80 KB),Finance,"On due date of opening of price bid i.e. dtd.21.08.2025 at 11.30 AM, seven nos. of price bids were opened and a BOQ chart was downloaded from e- procurement website. All the bidders have quoted 14.99 percentage less than the estimated cost.",SHASHIKANTA DALAI,21-Aug-2025 06:43 PM,finance_546934.pdf,BOQ Comparative Chart,Odisha Hydro Power Corporation Ltd||Rengali H.E. Project Rengali,2025_OHPCL_115900_1,RHEP/TCN No.-22/2025-26,"Civil works for installation of 250 LPH commercial RO with chillers and piping network for drinking water at RHEP, Rengali",Technical,"On due date of opening of e- procurement TCN No.RHEP-22/2025-26 i.e. dtd.06.08.2025 at 11.30 AM, ten (10) nos. of offers were received, opened and downloaded from e- procurement website.",SHASHIKANTA DALAI,06-Aug-2025 01:04 PM,technical_546934.pdf,CP HEAD,Internal,"B C DANDPAT, MD F ALI AHEMAD, B R JAIN",Subrat Kumar Sarangi,18-Sep-2025 12:31 PM,finsummary_546934.pdf (82.05 KB),1.0,3023915.0,SUKANTA CHARAN BEHERA,INR,"1,891,756",AOC
,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER TENDER SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,2,3024006,BIBHUTI BHUSAN SWAIN,05-Aug-2025 03:17 PM,Rejected-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3024275,BIKRAM KUMAR PRADHAN,05-Aug-2025 11:51 AM,Rejected-Technical,Not submitted all the required documents as per tender specification,20-Aug-2025 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3024743,JEETENDRA KUMAR BEHERA,05-Aug-2025 03:37 PM,Rejected-Technical,Not submitted all the required documents as per tender specification,20-Aug-2025 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3020152,M/S SHREE TECH,02-Aug-2025 06:55 PM,Rejected-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3021180,NIRANJAN SAMAL,04-Aug-2025 10:25 PM,Rejected-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3023957,PARAMANANDA MOHANTY,04-Aug-2025 10:56 PM,Rejected-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3024049,SANTOSH KUMAR SATAPATHY,05-Aug-2025 09:51 AM,Rejected-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3023915,SUKANTA CHARAN BEHERA,04-Aug-2025 10:47 PM,Accepted-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3017523,SUMATI MOHANTY,05-Aug-2025 01:16 PM,Rejected-AOC,Through transparent lottery,28-Oct-2025 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
