Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Twelve numbers of financial bids have been opened,Lalit Kumar Naik,02-Sep-2025 12:03 PM,,BOQ Comparative Chart,"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Lalit Kumar Naik,01-Sep-2025 12:23 PM,02-Sep-2025 11:00 AM,techsummary_548252.pdf (672.61 KB),1,3038065,AJAYA KUMAR DASH,16-Aug-2025 12:43 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,08-Oct-2025,"INR 4,666,320",270.0,Tapas Ranjan Lenka,23-Oct-2025 12:34 PM,bphuTalpali_madhab.pdf (1625.00 KB),22/P1 of 2025-26,1.0,3037418.0,NILA MADHAB SAHU,INR,"4,666,320","Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Lalit Kumar Naik,10-Sep-2025 11:16 AM,finsummary_548252.pdf (192.71 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,2025_CERWI_116425_1,Online 04 of 2025-26,Construction of BPHU building at CHC Talpali of Gaisilet Block in the district of Bargarh,Technical,Twelve bidders have participated,Lalit Kumar Naik,19-Aug-2025 12:50 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender cost,EMD,Affidavit,RC,PAN,GSTIN and other docs as per DTCN","10,000",0.0,Nil,Nil,No,"54,890",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,Online 04 of 2025-26,2025_CERWI_116425_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"EE R.W Division,Padampur","RURAL WORKS DIVISION, PADMAPUR",07-Aug-2025 10:00 AM,18-Aug-2025 11:00 AM,07-Aug-2025 10:00 AM,16-Aug-2025 05:00 PM,07-Aug-2025 10:00 AM ,15-Aug-2025 05:00 PM ,07-Aug-2025 10:00 AM,16-Aug-2025 05:00 PM,02-Sep-2025 11:00 AM,1.0,ICICI BANK,Construction of BPHU building at CHC Talpali of Gaisilet Block in the district of Bargarh,Construction of BPHU building at CHC Talpali of Gaisilet Block in the district of Bargarh,NA ,NA ,"54,89,142",Civil Works - Buildings,NA ,Tender,90.0,270.0,Padampur,768036.0,NA ,NA ,NA ,"O/o the E.E RURAL WORKS DIVISION, PADMAPUR",No ,No,AOC
,,,,,,,,,,,,,2,3036257,DEBENDRA KUMAR JOSHI,14-Aug-2025 05:11 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3035530,DEEPAK KUMAR SAHU,14-Aug-2025 11:04 AM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3037120,JAY BIHARI RUIDAS,15-Aug-2025 04:55 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3035932,KAMALA KANTA MAHALA,14-Aug-2025 02:05 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3036718,LINGARAJ MISHRA,15-Aug-2025 06:28 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3037418,NILA MADHAB SAHU,15-Aug-2025 08:48 PM,Accepted-AOC,Awarded,23-Oct-2025 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3030690,PRAFULLA KUMAR SAHU,11-Aug-2025 10:28 AM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3035601,PRASANNA SAHU,14-Aug-2025 11:40 AM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3038365,RANJAN KUMAR BAG,16-Aug-2025 02:38 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,11,3036859,SAHADEB BARIHA,15-Aug-2025 12:58 PM,Rejected-Finance,Not successful in lottery,10-Sep-2025 11:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,12,3036289,SUBRAT KUMAR JOSHI,14-Aug-2025 05:34 PM,Rejected-AOC,Not awarded,23-Oct-2025 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
