Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,ALL DOCUMENTS ARE DOWNLOADED SUCCESSFULLY.,BISHNU NARAYAN MOHAPATRA,22-Apr-2025 05:39 PM,,BOQ Comparative Chart,1.0,2889763.0,ABHISEKH ENTERPRISERS,INR,"702,910",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Cuttack,2025_CEMWR_112233_1,SE/MDC-01(03)/2025-26,"Supply, fabrication, transportation and erection of HR gate of Panchaman CD of Athagarh Block under Minor Irrigation Division, Cuttack for the year 2024-25","SUPERINTENDING ENGINEER, MECHANICAL DIVISION, JAGATPUR, CUTTACK",Internal,,BISHNU NARAYAN MOHAPATRA,29-Oct-2025 05:43 PM,finsummary_535455.pdf (722.29 KB),"SUPERINTENDING ENGINEER, MECHANICAL DIVISION, JAGATPUR, CUTTACK",Internal,,BISHNU NARAYAN MOHAPATRA,29-Oct-2025 12:53 PM,techsummary_535455.pdf (1625.84 KB),1,2889763,ABHISEKH ENTERPRISERS,21-Apr-2025 02:23 PM,Accepted-AOC,SUCESSFUL BIDDER AND WINNER OF LOTTERY,30-Oct-2025 03:54 PM,30-Oct-2025,"INR 702,910",30.0,BISHNU NARAYAN MOHAPATRA,30-Oct-2025 03:54 PM,13A.pdf (638.00 KB),AOC,"Superintending EngineerMechanicalDivision,Cuttack","O/o the Superintending Engineer, Mechanical Division, Cuttack","8,300",No,fixed,,Nil,Nil,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Cuttack,SE/MDC-01(03)/2025-26,2025_CEMWR_112233_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN,AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.",1.0,ICICI BANK,"Supply, fabrication, transportation and erection of HR gate of Panchaman CD of Athagarh Block under Minor Irrigation Division, Cuttack for the year 2024-25","Supply, fabrication, transportation and erection of HR gate of Panchaman CD of Athagarh Block under Minor Irrigation Division, Cuttack for the year 2024-25",Please refer Tender documents. ,NA ,"8,26,855",Mechanical Works,NA ,Tender,90.0,30.0,ATHAGARH,754029.0,NA ,NA ,NA ,CUTTACK,No ,No,07-Apr-2025 11:00 AM,22-Apr-2025 11:00 AM,07-Apr-2025 11:00 AM,21-Apr-2025 05:00 PM,07-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,07-Apr-2025 11:00 AM,21-Apr-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2887175,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",19-Apr-2025 11:14 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2879552,BANASHREE BHUYAN,19-Apr-2025 01:31 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2883487,DASH ENGINEERING AND WORKS,21-Apr-2025 08:00 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2890197,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,21-Apr-2025 01:57 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2879574,LAXMIDHRA BHUYAN,19-Apr-2025 01:14 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2888468,Manashi Dash (Prop - M/s. Babby Engg. & Works),21-Apr-2025 08:04 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2882820,M/S Abirvab Steel Product,17-Apr-2025 04:43 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2880124,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,20-Apr-2025 11:51 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2882798,M/S Ashreebad Fabricators,17-Apr-2025 12:43 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
