S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"6,000",Nil,Nil,No,"Construction of GPLF Office building with market complex at Kunjuri G P,Block-Begunia","Construction of GPLF Office building with market complex at Kunjuri G P,Block-Begunia",Please refer Tender documents. ,NA ,"22,58,456",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Kunjuri,Begunia",752056.0,NA ,NA ,NA ,Panchaya Samiti Begunia,No ,No,09-Jul-2025 11:00 AM,22-Jul-2025 11:00 AM,09-Jul-2025 11:00 AM,21-Jul-2025 05:00 PM,09-Jul-2025 11:00 AM ,18-Jul-2025 05:00 PM ,09-Jul-2025 11:00 AM,21-Jul-2025 05:00 PM,Block Development Officer Begunia,Panchaya Samiti Begunia,"22,585",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BEGUNIA Block,10/PSB/2025-26,2025_PRBGN_115075_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BEGUNIA Block,2025_PRBGN_115075_1,10/PSB/2025-26,"Construction of GPLF Office building with market complex at Kunjuri G P,Block-Begunia",BDO,Internal,"BDO,SO,BFO,AEE,JE",Susmita Mishra,23-Aug-2025 07:12 PM,finsummary_545020.pdf (682.93 KB),Finance,BID OPENING SUMMARY,PRASANTA KUMAR SAHOO,31-Jul-2025 01:23 PM,finance_545020.pdf,BOQ Comparative Chart,1.0,3006605.0,SUDHIR KUMAR SAHOO,INR,"2,032,836",23-Oct-2025,"INR 2,032,836",180.0,Santosh Kumar Jena,26-Oct-2025 07:26 PM,kunjurigplfaoc.pdf (316.00 KB),GPLF KUNJURI AOC,1,3003397,BICHITRA KUMAR SUBUDHI,18-Jul-2025 06:24 PM,Rejected-AOC,L2,26-Oct-2025 07:26 PM,BDO,Internal,"BDO,BFO,SO,AEE,JE",Susmita Mishra,09-Aug-2025 10:02 PM,techsummary_545020.pdf (593.82 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3006605,SUDHIR KUMAR SAHOO,21-Jul-2025 12:43 PM,Accepted-AOC,L1,26-Oct-2025 07:26 PM,,,,,,,AOC
