Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,"19,600",Yes,fixed,,Nil,Nil,"S/R to BTCSM road such as construction of saucer drain, cover slab, pothole repair, jungle clearance etc. for the year 2025-26.","S/R to BTCSM road such as construction of saucer drain, cover slab, pothole repair, jungle clearance etc. for the year 2025-26.",Please refer Tender documents. ,NA ,"19,56,490",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,1.0,period of completion,Other,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.","6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-05/2025-26,2025_EICCL_117579_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Sep-2025 05:00 PM,10-Sep-2025 11:30 AM,03-Sep-2025 05:00 PM,09-Sep-2025 04:00 PM,03-Sep-2025 05:00 PM ,09-Sep-2025 04:00 PM ,03-Sep-2025 05:00 PM,09-Sep-2025 04:00 PM,AOC,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,18-Oct-2025 01:02 PM,techsummary_551083.pdf (255.24 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,18-Oct-2025 01:07 PM,finsummary_551083.pdf (255.24 KB),Finance,"16Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,11-Sep-2025 04:31 PM,finance_551083.pdf,BOQ Comparative Chart,18-Oct-2025,"INR 1,663,212",30.0,Somanath Tripathy,18-Oct-2025 01:12 PM,327.pdf (255.00 KB),Contract awarded to Sri Sanatan Sangram Singh,1,3072055,ASISH KUMAR NAYAK,09-Sep-2025 03:07 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117579_12,SE RandB Divn No.I-BAM-05/2025-26,"S/R to BTCSM road such as construction of saucer drain, cover slab, pothole repair, jungle clearance etc. for the year 2025-26.",1.0,3064603.0,SANATAN SANGRAM SINGH,INR,"1,663,212",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3066024,BALAJI KUMAR SAHU,07-Sep-2025 09:22 AM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3066067,BALAKRUSHNA PRADHAN,06-Sep-2025 04:31 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,3067978,BIKASH RANJAN MOHANTY,09-Sep-2025 01:17 AM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,3067006,KRUSHNA CHANDRA SETHI,07-Sep-2025 09:12 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,3069959,KUNA BISHOYI,08-Sep-2025 06:50 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,3063819,MUNA SETHI,04-Sep-2025 08:08 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,3068154,NILANCHAL PRADHNA,08-Sep-2025 10:30 AM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,3063318,RAMA KRUSHNA SAHU,04-Sep-2025 02:53 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,3070363,Rashmita Panda,08-Sep-2025 08:50 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,11,3064603,SANATAN SANGRAM SINGH,05-Sep-2025 05:16 PM,Accepted-AOC,Win in Lottery,18-Oct-2025 01:12 PM,,,,,,,,,,AOC
