S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,3rd corrigendum,Date,,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",01-Mar-2025 06:55 PM,13-Mar-2025 11:00 AM,01-Mar-2025 06:55 PM,12-Mar-2025 05:00 PM,01-Mar-2025 06:55 PM ,11-Mar-2025 02:00 PM ,01-Mar-2025 06:55 PM,12-Mar-2025 05:00 PM,24-Apr-2025 11:00 AM,Construction of road from Tamasapali to MV-23 under MMSY-TRIP in the Districts of Malkangiri for the year 2024-25.,Construction of road from Tamasapali to MV-23 under MMSY-TRIP in the Districts of Malkangiri for the year 2024-25.,N.A. ,NA ,"6,43,45,000",Civil Works - Roads,NA ,Tender,90.0,272.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_17,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","6,44,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,Technical,BIDDERS NAME,Prabhakara Behera,26-Mar-2025 07:47 PM,technical_531899.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,01-Aug-2025 10:10 PM,finsummary_531899.pdf (675.80 KB),Finance,CS,Prabhakara Behera,01-Aug-2025 10:02 PM,finance_531899.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,21-Apr-2025 10:12 AM,24-Apr-2025 11:00 AM,techsummary_531899.pdf (1935.09 KB),14-Oct-2025,"INR 64,344,599.64",272.0,Prabhakara Behera,14-Oct-2025 04:31 PM,AOCTamsapalli.pdf (1611.00 KB),"Award of contract to Bikram Kumar Gupta, A Class Contractor through transparency lottery system",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_17,CCERWCSBD Online - 18/2024-25,Construction of road from Tamasapali to MV-23 under MMSY-TRIP in the Districts of Malkangiri for the year 2024-25.,1.0,2851055.0,BIKRAM KUMAR GUPTA,INR,"54,699,344.15",1,2851055,BIKRAM KUMAR GUPTA,12-Mar-2025 01:44 PM,Accepted-AOC,Award of contract to BIKRAM KUMAR GUPTA through transparency lottery system,14-Oct-2025 04:31 PM,AOC
2.0,corrigendum-4,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2851036,Binay Ray,11-Mar-2025 06:38 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2850794,Jitendra Mohanty,12-Mar-2025 02:15 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2848290,KAMAL HALDAR,10-Mar-2025 06:53 PM,Rejected-Finance,REJECT,01-Aug-2025 10:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2851442,Kiran Kumar Gouda,12-Mar-2025 09:23 AM,Rejected-Finance,REJECT,01-Aug-2025 10:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2845134,KRISHNA PADA SARKAR,11-Mar-2025 05:32 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2843073,Lalit Somani,12-Mar-2025 11:03 AM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2851138,Mahadev Dey,12-Mar-2025 09:57 AM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2852222,MAHARAJ BISWAS,12-Mar-2025 03:46 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2852083,MALAY SARKAR,12-Mar-2025 02:04 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2849517,PRAFULLA KUMAR PANDA,12-Mar-2025 12:58 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2848855,P.RAMA RAO,12-Mar-2025 12:05 PM,Rejected-Finance,REJECT,01-Aug-2025 10:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2852160,Saumya Ranjan Muduli,12-Mar-2025 03:05 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2849801,SUSANTA KUMAR SAHOO,11-Mar-2025 10:03 PM,Rejected-AOC,reject,14-Oct-2025 04:31 PM,AOC
