S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,3057309.0,HIMANSHU SEKHAR APAT,INR,"720,195",Finance,all are qualified,Rashmi Rekha Chattar,16-Oct-2025 12:11 PM,,BOQ Comparative Chart,"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 04:38 PM,finsummary_550029.pdf (128.38 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_117118_2,"SE,MID,DGR /03 / 2025-26",Improvement to Sarankote MIP in Barkote Block of Deogarh District under Critical Grant.,"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 04:30 PM,techsummary_550029.pdf (257.72 KB),1,3057875,ALOK KUMAR PRADHAN,01-Sep-2025 05:42 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,22-Oct-2025,"INR 720,195",120.0,Rashmi Rekha Chattar,22-Oct-2025 10:05 AM,sarankote.pdf (533.00 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, PAN CARD, GSTIN, REGISTRATION CERTIFICATE AND OTHE DOCUMENT AS PER DTCN",21-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,21-Aug-2025 10:00 AM ,02-Sep-2025 05:00 PM ,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,"8,470",Yes,fixed,,Nil,Nil,Improvement to Sarankote MIP in Barkote Block of Deogarh District under Critical Grant.,Improvement to Sarankote MIP in Barkote Block of Deogarh District under Critical Grant.,Please refer Tender documents. ,NA ,"8,47,188",Civil Works - Others,Imp to MIP ,Tender,90.0,120.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o S.E, M.I. Division, Deogarh",No ,No,"S.E, M.I. Division, Deogarh","O/o S.E, M.I. Division, Deogarh","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar","SE,MID,DGR /03 / 2025-26",2025_CEMIB_117118_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3060378,BHESAJA KUMAR PATTA,01-Sep-2025 11:56 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3059494,DHIREN DHAL,01-Sep-2025 03:54 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3057309,HIMANSHU SEKHAR APAT,31-Aug-2025 10:19 AM,Accepted-AOC,Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3048684,KHAGESWAR SAHU,25-Aug-2025 05:35 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3051367,LINANJALI PRADHAN,27-Aug-2025 04:02 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3048404,Lokanath sahu,25-Aug-2025 04:05 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3060156,SANTANU KUMAR PANI,02-Sep-2025 10:41 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3055329,TARULATA SAHU,29-Aug-2025 06:36 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3058960,TOSHABANTA DHAL,01-Sep-2025 01:17 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3058840,VIVEK KUMAR PATEL,01-Sep-2025 12:46 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:05 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
