EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"31,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,GST PAN LICENSE AND OTHER DOCUMENTS AS PER DTCN,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,ENGINEER MEMBER,BeDA BRAHMAPUR,Brahmapur Development Authority,EM-BeDA-15/2025-26,2025_BDABH_114067_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair renovation and Painting of passengers waiting hall construction of new Bus Bay Internal Drain and exit gate culvert at New Bus Stand Brahmapur,WORKS,Please refer Tender documents. ,NA ,"30,96,161",Civil Works - Others,NA ,Tender,120.0,90.0,BRAHMAPUR,760004.0,NA ,NA ,NA ,BRAHMAPUR,No ,No,02-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,02-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,02-Jun-2025 10:00 AM ,09-Jun-2025 05:30 PM ,02-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,AOC,Brahmapur Development Authority,2025_BDABH_114067_1,EM-BeDA-15/2025-26,Repair renovation and Painting of passengers waiting hall construction of new Bus Bay Internal Drain and exit gate culvert at New Bus Stand Brahmapur,ENGINEER MEMBER,Internal,AE EE,Guru Prasad Mohanty,14-Oct-2025 01:29 PM,finsummary_541769.pdf (3547.78 KB),Finance,ELEVEN MEMBERS PARTICIPATED IN TENDER FOR EVALUATION,Guru Prasad Mohanty,14-Oct-2025 01:15 PM,finance_541769.pdf,BOQ Comparative Chart,1.0,2955744.0,KANHU CHARAN SETHY,INR,"2,632,043",14-Oct-2025,"INR 2,632,043",90.0,Guru Prasad Mohanty,14-Oct-2025 01:35 PM,WO.pdf (2552.00 KB),SUCCESSFUL IN FAIR LOTTERY,1,2969454,ASHUTOSH,16-Jun-2025 03:51 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,ENGINEER MEMBER,Internal,AE EE,Guru Prasad Mohanty,14-Oct-2025 01:23 PM,techsummary_541769.pdf (3547.78 KB),AOC
,,,,,,,,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2965917,DEEPAK KUMAR MOHAPATRA,13-Jun-2025 05:03 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2955744,KANHU CHARAN SETHY,07-Jun-2025 06:38 PM,Accepted-AOC,SUCCESSFUL IN FAIR LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2966141,Krushna Dalai,13-Jun-2025 07:45 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2969395,Namita Kumari Sahu,16-Jun-2025 03:38 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2956725,PRADEEP KUMAR CHOUDHURY,08-Jun-2025 08:04 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2955548,R SUNIL REDDY,07-Jun-2025 02:30 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2969473,SASMITA SABAT,16-Jun-2025 04:05 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2968658,SRINIVAS PRADHAN,16-Jun-2025 02:41 PM,Rejected-Finance,NOT ELLIGIBLE FOR LOTTERY,14-Oct-2025 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2955652,SURESH CHANDRA NAYAK,07-Jun-2025 05:07 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,14-Oct-2025 01:35 PM,,,,,,,AOC
