S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,2938382.0,SANTOSINI PANDA,INR,"1,889,339",Finance,Document downloaded for evaluation,Sachin Kumar Sahoo,31-May-2025 12:21 PM,,BOQ Comparative Chart,SACHIN KU SAHOO,Internal,,Sachin Kumar Sahoo,14-Oct-2025 06:49 PM,finsummary_540802.pdf (616.77 KB),EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-II-BBSR,2025_EICCL_113694_6,eTCN.03/2025-26,"S/R to road from Ekamra square to B.P. Airport RD 0/000 km to 0/400 km (Such as providing and laying SDBC, Thermoplastic compound over existing damaged bitumen surface) for the year 2025-26",SACHIN KU SAHOO,Internal,N SRINIVAS,Sachin Kumar Sahoo,14-Oct-2025 06:46 PM,techsummary_540802.pdf (616.77 KB),14-Oct-2025,"INR 1,889,339",30.0,Sachin Kumar Sahoo,14-Oct-2025 06:51 PM,santos.pdf (617.00 KB),Awarded through transparency lottery system,1,2937630,ASHWINI KUMAR JENA,28-May-2025 01:17 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"R.C.PAN,GST,BID COST,EMD, ALL AFFIDAVIT SCHEDULE A TO F, ALL MACHINARIES ETC AS PER APPROVED DTCN","22,225",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,22-May-2025 06:55 PM,29-May-2025 11:00 AM,22-May-2025 06:55 PM,28-May-2025 05:00 PM,NA ,NA ,22-May-2025 06:55 PM,28-May-2025 05:00 PM,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-II-BBSR,eTCN.03/2025-26,2025_EICCL_113694_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S/R to road from Ekamra square to B.P. Airport RD 0/000 km to 0/400 km (Such as providing and laying SDBC, Thermoplastic compound over existing damaged bitumen surface) for the year 2025-26","S/R to road from Ekamra square to B.P. Airport RD 0/000 km to 0/400 km (Such as providing and laying SDBC, Thermoplastic compound over existing damaged bitumen surface) for the year 2025-26",Please refer Tender documents. ,NA ,"22,22,490",Civil Works - Roads,NA ,Tender,90.0,30.0,BHUBANESWAR,751003.0,NA ,NA ,NA ,Office of S E BBSR R and B Divn No II,No ,No,Superintending Engineer BBSR R and B Divn No II,Office of S E BBSR R and B Divn No II Surya nagar Unit-7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2936413,BALABHADRA ROUT,27-May-2025 10:20 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2938534,BHAGIRATHI BISWAL,28-May-2025 04:54 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2930688,BIRAJA MAHIMA PANIGRAHI,27-May-2025 12:23 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2937670,CBDS CONSTRUCTION,28-May-2025 01:23 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2935961,CHITTARANAJAN SARANGI,27-May-2025 07:18 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2938484,DEBANSHEE INFRA AND ASSOCIATES,28-May-2025 04:22 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2937729,DIPTI RANJAN JENA,28-May-2025 01:31 PM,Rejected-Technical,Non responsive,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2935081,JAGABANDHU ELECTRICAL,28-May-2025 02:07 PM,Rejected-Technical,NON RESPONSIVE,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2935152,JYOTI KANTA PARIDA,28-May-2025 03:26 PM,Rejected-Technical,NON RESPONSIVE,14-Oct-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
