Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,"15Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,10-Sep-2025 01:32 PM,finance_551260.pdf,BOQ Comparative Chart,1.0,3064135.0,MUNA SETHI,INR,"327,150",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117579_40,SE RandB Divn No.I-BAM-05/2025-26,S/R to Kamapalli Fish market Working womens hostel Road such as Pothole repair from Ch 0/00 km to 1/000 km for the year 2025-26.,1,3072184,Asish Kumar Nayak,09-Sep-2025 03:46 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,18-Oct-2025,"INR 327,150",30.0,Somanath Tripathy,18-Oct-2025 12:31 PM,296.pdf (227.00 KB),Contract awarded to Sri Muna Sethi,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,18-Oct-2025 12:17 PM,techsummary_551260.pdf (227.37 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,18-Oct-2025 12:21 PM,finsummary_551260.pdf (227.37 KB),AOC,1.0,ICICI BANK,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,"3,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",S/R to Kamapalli Fish market Working womens hostel Road such as Pothole repair from Ch 0/00 km to 1/000 km for the year 2025-26.,S/R to Kamapalli Fish market Working womens hostel Road such as Pothole repair from Ch 0/00 km to 1/000 km for the year 2025-26.,Please refer Tender documents. ,NA ,"3,84,837",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,03-Sep-2025 05:00 PM,10-Sep-2025 11:30 AM,03-Sep-2025 05:00 PM,09-Sep-2025 04:00 PM,03-Sep-2025 05:00 PM ,09-Sep-2025 04:00 PM ,03-Sep-2025 05:00 PM,09-Sep-2025 04:00 PM,"2,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-05/2025-26,2025_EICCL_117579_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,period of completion,Other,,AOC
,,,,,,,,,,,,,,,2,3070645,BIGHNESWAR PADHY,09-Sep-2025 12:53 AM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3071506,Dandapani Pradhan,09-Sep-2025 12:54 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3063939,G Kamaraju Reddy,08-Sep-2025 10:31 AM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3067271,KRISHNA JENA,07-Sep-2025 01:38 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3071406,LIPUN SAHU,09-Sep-2025 12:37 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3071964,M/s. Maa Trishakti Traders,09-Sep-2025 02:33 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3064135,MUNA SETHI,05-Sep-2025 12:00 PM,Accepted-AOC,Win in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3071605,Niranjan Sahu,09-Sep-2025 01:23 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3071783,RABI NARAYANA SAHU,09-Sep-2025 01:54 PM,Rejected-AOC,Reject in Lottery,18-Oct-2025 12:31 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
