Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
06-Aug-2025,"INR 4,048,882",180.0,AMIYA KUMAR SETH,19-Oct-2025 08:51 PM,PID54321P1202526.pdf (586.00 KB),AOC,1.0,2909639.0,DILLIP KUMAR MISHRA,INR,"3,463,894","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",2025_CELBB_112841_54,EPROCUREMENT TENDER CALL NOTICE PID01 OF 2025-26,"PID-54, Construction of guard wall on left bank of Sukal Dstributary from RD 8.240Km. to 8.335Km. Near Kusida Escape",1,2911064,AKLANTA ANURAG MOHAPATRA,13-May-2025 12:15 AM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,Finance,All the bidders are valid bidders,Shatabdi Choudhury,16-Jul-2025 05:30 PM,finance_537757.pdf,BOQ Comparative Chart,Er. Amiya Kumar Seth,Internal,"Er. Amiya Kumar Seth, SE, Mrs. Shatabdi Choudhury, AEE (Estimator), Sri Manoj Kumar Chudhury, DAO-I, Sri Himansu Sekhar Mandhata, AE (Estimator) in charge",Shatabdi Choudhury,27-Jul-2025 04:13 PM,finsummary_537757.pdf (447.33 KB),Er. Amiya Kumar Seth,Internal,"Er. Amiya Kumar Seth, SE, Mrs. Shatabdi Choudhury, AEE (Estimator), Sri Manoj Kumar Chudhury, DAO-I, Sri Himansu Sekhar Mandhata, AE (Estimator) in charge",Shatabdi Choudhury,26-Jul-2025 06:36 PM,techsummary_537757.pdf (447.33 KB),AOC,"6,000",0.0,Nil,Nil,No,"40,800",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,29-Apr-2025 10:30 AM,14-May-2025 11:00 AM,29-Apr-2025 10:30 AM,13-May-2025 05:30 PM,29-Apr-2025 10:30 AM ,13-May-2025 05:30 PM ,29-Apr-2025 10:30 AM,13-May-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDERPAPERCOST,EMD,RC,PAN,ACTIVEGSTIN,NRC,AFFIDAVIT FOR EACHWORK,ANY OTHER DOCUMENT ASPER DTCN","PID-54, Construction of guard wall on left bank of Sukal Dstributary from RD 8.240Km. to 8.335Km. Near Kusida Escape",Construction of guard wall on left bank of Sukal Dstributary from RD 8.240Km. to 8.335Km. Near Kusida Escape,Please refer Tender documents. ,NA ,"40,74,690",Civil Works - Others,CANAL ,Tender,90.0,180.0,PURI,752003.0,NA ,NA ,NA ,"O/o SE, Puri Irrigation Division, Puri",No ,No,"SE, Puri Irrigation Division, Puri","O/O THE SUPERINTENDING ENGINEER, PURI IRRIGATION DIVISION, PURI AT, DELTA COLONY, SECHAN VIHAR, SHREE VIHAR, PURI 752003","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",EPROCUREMENT TENDER CALL NOTICE PID01 OF 2025-26,2025_CELBB_112841_54,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,2913194,AKSHAY KUMAR SWAIN,12-May-2025 01:19 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2914976,Amiya Ranjan Barik,13-May-2025 10:02 AM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2911008,ANAMIKA PANDA,10-May-2025 11:54 AM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2912359,ANIL KUMAR SAHOO,11-May-2025 09:45 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2916730,BATAKRUSHNA BEHERA,13-May-2025 05:22 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2915577,BHABANI SANKAR SWAIN,13-May-2025 12:49 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2909299,BIBHU PRASAD SAHOO,08-May-2025 02:34 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2915724,CHANDRAKANT RAY,13-May-2025 01:15 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2909530,Chaudhury Nalinikanta Sahoo,10-May-2025 05:34 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,2908076,DEEPAK SAMANTARAY,08-May-2025 05:56 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,2909639,DILLIP KUMAR MISHRA,08-May-2025 05:42 PM,Accepted-AOC,WIN THE TRANSPARENT LOTTERY,19-Oct-2025 08:51 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,2913696,DIPTI PRASAD DASH,12-May-2025 04:54 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,2913855,DIPTIRANJAN PATRA,12-May-2025 05:50 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,2911644,JITENDRA KUMAR UPADHYAYA,11-May-2025 10:03 AM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,2910686,JYOTIRMAYEE SENAPATI,09-May-2025 08:09 PM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,2912051,MAHESWAR SAHOO,12-May-2025 10:35 AM,Rejected-Finance,Reject,27-Jul-2025 04:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
