Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,All are qualified,Rashmi Rekha Chattar,16-Oct-2025 12:31 PM,finance_550038.pdf,BOQ Comparative Chart,1.0,3060385.0,BHESAJA KUMAR PATTA,INR,"1,440,102","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_117118_7,"SE,MID,DGR /03 / 2025-26",Improvement to Left Main Canal of Sunaposhi Arjunkata MIP in Barkote Block of Deogarh District under Critical Grant.,"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 05:43 PM,finsummary_550038.pdf (257.72 KB),"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 04:13 PM,techsummary_550038.pdf (257.72 KB),22-Oct-2025,"INR 1,440,102",120.0,Rashmi Rekha Chattar,22-Oct-2025 10:21 AM,sunacritical.pdf (615.00 KB),1,3057904,ABINASH SWAIN,31-Aug-2025 06:13 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,Improvement to Left Main Canal of Sunaposhi Arjunkata MIP in Barkote Block of Deogarh District under Critical Grant.,Improvement to Left Main Canal of Sunaposhi Arjunkata MIP in Barkote Block of Deogarh District under Critical Grant.,Please refer Tender documents. ,NA ,"16,94,038",Civil Works - Others,Imp to MIP ,Tender,90.0,120.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o S.E, M.I. Division, Deogarh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, PAN CARD, GSTIN, REGISTRATION CERTIFICATE AND OTHE DOCUMENT AS PER DTCN",21-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,21-Aug-2025 10:00 AM ,02-Sep-2025 05:00 PM ,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"S.E, M.I. Division, Deogarh","O/o S.E, M.I. Division, Deogarh","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar","SE,MID,DGR /03 / 2025-26",2025_CEMIB_117118_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"16,950",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3056766,ALOK KUMAR PRADHAN,01-Sep-2025 05:39 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3060385,BHESAJA KUMAR PATTA,02-Sep-2025 12:26 AM,Accepted-AOC,Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3051495,CHHEDILAL KATARUKA,27-Aug-2025 06:21 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3059423,DHIREN DHAL,01-Sep-2025 03:27 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3059903,DUSMANTA PRADHAN,01-Sep-2025 06:25 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3048646,KHAGESWAR SAHU,25-Aug-2025 05:19 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3055879,LALIT MITRA,31-Aug-2025 11:28 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3048497,Lokanath sahu,25-Aug-2025 04:28 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3058095,MANIKA SAHOO,31-Aug-2025 08:09 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:21 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
