Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid opened,Ansuman Mohapatra,13-Oct-2025 01:16 PM,finance_527127.pdf,BOQ Comparative Chart,1.0,2807347.0,G-ON ENERGY CONTROLS,INR,"1,068,725",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,2025_EICCL_109791_2,Bid Id No. SE- 61/2024-25,"Supply, Installation, Testing and Commissioning of Solar System at Kisantandi CHC for the year 2024-25",Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,13-Oct-2025 01:42 PM,finsummary_527127.pdf (343.90 KB),Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,13-Oct-2025 01:34 PM,techsummary_527127.pdf (226.37 KB),1,2796554,BRUNDABAN LENKA,09-Feb-2025 07:41 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,13-Oct-2025,"INR 1,068,725",60.0,Ansuman Mohapatra,13-Oct-2025 01:46 PM,Agmt_0001.pdf (342.00 KB),Agreement drawn,AOC,"12,600",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,SE Mayurbhanj (R and B) Division Baripada,O/o the SE Mayurbhanj (R and B) Division Baripada,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,Bid Id No. SE- 61/2024-25,2025_EICCL_109791_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, EMD, GSTIN, PAN, Affidavit and other required documents as per DTCN",27-Jan-2025 10:00 AM,11-Feb-2025 11:00 AM,27-Jan-2025 10:00 AM,10-Feb-2025 05:00 PM,27-Jan-2025 10:00 AM ,10-Feb-2025 05:00 PM ,27-Jan-2025 10:00 AM,10-Feb-2025 05:00 PM,"Supply, Installation, Testing and Commissioning of Solar System at Kisantandi CHC for the year 2024-25","Supply, Installation, Testing and Commissioning of Solar System at Kisantandi CHC for the year 2024-25",Please refer Tender documents. ,NA ,"12,57,200",Electrical Works,NA ,Tender,90.0,60.0,Baripada,757001.0,NA ,NA ,NA ,O/o the SE Mayurbhanj (R and B) Division Baripada,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2801430,CHAKADOLA ELECTRICAL,07-Feb-2025 02:22 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2807347,G-ON ENERGY CONTROLS,10-Feb-2025 03:01 PM,Accepted-AOC,Work order issued,13-Oct-2025 01:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2806729,GOPINATH DAS,10-Feb-2025 02:55 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2807194,Kapaacon Enterprises Pvt Ltd,10-Feb-2025 01:42 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2804763,M/A OOMKAR TECNICAL SERVICE (P) LTD,10-Feb-2025 01:33 PM,Rejected-Technical,L2 lowest,13-Oct-2025 01:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2803111,M/S GIRISH CHANDRA PATRA,08-Feb-2025 11:09 AM,Rejected-Technical,Does not furnished Schedule F,13-Oct-2025 01:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2807261,MS RAGHUNATH ENTERPRISES,10-Feb-2025 03:15 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2807761,RAKESH PATTANAYAK,10-Feb-2025 03:43 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2787493,RANJIT SAHOO,07-Feb-2025 08:19 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2803365,SANJAY KUMAR PATRA,08-Feb-2025 02:14 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2805810,SARBANI ELECTRICALS SERVICES,09-Feb-2025 07:31 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2805155,SARITA DAS,10-Feb-2025 09:50 AM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2807515,Sk Mohammed Wajuddin,10-Feb-2025 02:49 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,13-Oct-2025 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
