Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
DFO,Internal,,Prahallad Mallik,27-Oct-2025 12:10 PM,techsummary_519937.pdf (479.72 KB),1.0,2707555.0,SAILEN JENA,INR,"1,665,842",Forest Environment and Climate Change Department||RCCF Angul||DFO Dhenkanal,2024_DFOD_108069_4,08- DFO/DKL/2024 -25,"Construction of ACF Quarters at Forest Colony, Dhenkanal Forest Division",1,2706644,Ajoy Kumar Baisak,22-Dec-2024 12:24 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,27-Oct-2025,"INR 1,665,842",90.0,Sumit Kar,27-Oct-2025 10:58 PM,1AOC.pdf (480.00 KB),DUE TO L1,Finance,OPENING SUCESSFULLY,Sumit Kar,24-Dec-2024 01:02 PM,,BOQ Comparative Chart,DFO,Internal,,Prahallad Mallik,27-Oct-2025 12:16 PM,finsummary_519937.pdf (479.72 KB),AOC,"Construction of ACF Quarters at Forest Colony, Dhenkanal Forest Division","Construction of ACF Quarters at Forest Colony, Dhenkanal Forest Division",Please refer Tender documents. ,NA ,"19,59,530",Civil Works - Others,NA ,Tender,180.0,90.0,DHENKANAL,759001.0,NA ,NA ,NA ,DHENKANAL,No ,No,09-Dec-2024 03:00 PM,24-Dec-2024 11:00 AM,09-Dec-2024 03:00 PM,23-Dec-2024 05:00 PM,NA ,NA ,09-Dec-2024 03:00 PM,23-Dec-2024 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, PAN CARD and Other Documents",1.0,ICICI BANK,Forest Environment and Climate Change Department||RCCF Angul||DFO Dhenkanal,08- DFO/DKL/2024 -25,2024_DFOD_108069_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,"19,595",Yes,percentage,1.0%,Nil,Nil,Divisional Forest Officer,"Divisional Forest Officer Dhenkanal Division, Dhenkanal",AOC
,,,,,,,,,,,,,,,2,2695931,AKRURA SAHOO,14-Dec-2024 02:04 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit and other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2694259,BODHINATH JAGADISH CHANDRA,12-Dec-2024 08:41 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2706491,Chnadra Bhanupratap Singh,23-Dec-2024 10:11 AM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2705674,DILLIP KUMAR JENA,21-Dec-2024 11:43 AM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2706485,DURGA PRASAD TRIPATHY,21-Dec-2024 09:56 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2708278,JAJNESWAR NAIK,23-Dec-2024 03:05 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2706468,LOKANATH ROUT,21-Dec-2024 09:31 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2696672,Prafulla Kumar Mohanty,19-Dec-2024 12:31 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2707769,Pulak Kumar Mishra,23-Dec-2024 12:41 PM,Rejected-Finance,NOT L1 IN LOTTERY,27-Oct-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
