S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2873157.0,M/s Sri Durga Condev Private Limited,INR,"178,498,475",CE Roads-II Odisha,Internal,,Pradipta Kumar Nayak,16-Oct-2025 07:53 PM,finsummary_533191.pdf (1211.53 KB),Technical,Opening,Pradipta Kumar Nayak,10-Apr-2025 11:56 AM,,EIC-CIVIL,2025_EICCL_111684_2,CE-ROADS-I-24/2024-25,Improvement such as widening and strengthening of Pankua-Khalasa-Khaman road from 29/935 km to 39/714 km in the district of Nayagarh under State Plan,Finance,Opening,Pradipta Kumar Nayak,12-Jun-2025 12:04 PM,,BOQ Comparative Chart,EIC Civil cum Roads,Internal,,Pradipta Kumar Nayak,11-Jun-2025 08:06 PM,12-Jun-2025 11:30 AM,techsummary_533191.pdf (370.23 KB),1,2874760,ACP CONSTRUCTION,09-Apr-2025 11:01 AM,Rejected-Finance,Other than L1 and L2 bidder,16-Oct-2025 07:53 PM,16-Oct-2025,"INR 178,498,475",365.0,Pradipta Kumar Nayak,16-Oct-2025 07:58 PM,Pankua_Agreement.pdf (1212.00 KB),1366P1 of 2025-26,AOC,13-Mar-2025 06:15 PM,10-Apr-2025 11:30 AM,13-Mar-2025 06:15 PM,09-Apr-2025 05:30 PM,NA ,NA ,13-Mar-2025 06:15 PM,09-Apr-2025 05:30 PM,12-Jun-2025 11:30 AM,1.0,1st Corrigendum,Date,,Improvement such as widening and strengthening of Pankua-Khalasa-Khaman road from 29/935 km to 39/714 km in the district of Nayagarh under State Plan,Improvement such as widening and strengthening of Pankua-Khalasa-Khaman road from 29/935 km to 39/714 km in the district of Nayagarh under State Plan,Please refer Tender documents. ,NA ,"20,99,73,503",Civil Works - Roads,NA ,Tender,90.0,365.0,Nayagarh Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,1.0,ICICI BANK,EIC-CIVIL,CE-ROADS-I-24/2024-25,2025_EICCL_111684_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","10,000",0.0,Nil,Nil,No,"Chief Engineer, Roads-I, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar","21,00,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2873112,BALBHADRA DEVELOPERS PRIVATE LIMITED,31-Mar-2025 12:31 PM,Rejected-AOC,L1 bidder,16-Oct-2025 07:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2866542,Bhagabati build and constructions Pvt Ltd,02-Apr-2025 01:45 PM,Rejected-AOC,L2 bidder,16-Oct-2025 07:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2871956,BIJOY BUILDCONS PVT. LTD.,09-Apr-2025 03:37 PM,Rejected-AOC,L1 bidder,16-Oct-2025 07:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2874007,BIRENDRA KUMAR NAYAK,02-Apr-2025 01:33 PM,Rejected-Technical,Disqualified,11-Jun-2025 08:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2862260,BLACKSTONE,02-Apr-2025 04:57 PM,Rejected-Finance,Other than L1 and L2 bidder,16-Oct-2025 07:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2862375,M/s Bajarangi Construction,31-Mar-2025 05:18 PM,Rejected-AOC,L1 bidder,16-Oct-2025 07:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2874779,M/S KBM CONSTRUCTION,02-Apr-2025 04:41 PM,Rejected-AOC,L1 bidder,16-Oct-2025 07:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2874676,M/S RAJ CONSTRUCTION,02-Apr-2025 03:02 PM,Rejected-Technical,Disqualified,11-Jun-2025 08:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2874573,M/S SHREE GANESH CONSTRUCTION,02-Apr-2025 01:31 PM,Rejected-AOC,L1 bidder,16-Oct-2025 07:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
