S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,16-Jul-2025 10:00 AM,31-Jul-2025 11:30 AM,16-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,16-Jul-2025 11:00 AM ,29-Jul-2025 05:00 PM ,16-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, RC, GSTIN, PAN, NRC and other documents as per DTCN",Const of Additional Classroom of Kalinga Nodal UP School,Classroom building,Please refer Tender documents.  ,NA ,"13,59,678",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Bandalo GP, Badachana",754296.0,NA ,NA ,NA ,PANCHAYAT SAMITI OFFICE BARCHANA,No ,No,BDO BARCHANA,PANCHAYAT SAMITI OFFICE BARCHANA,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||BADCHANA Block,Tenderonline01 BAD/2025-26/2845/22.05.2025,2025_PRBCN_113919_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"14,000",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,AOC,BDO BADACHANA,Internal,"BFO, AEE, SO, CP,AE/ JE Concerned of Barchana Block",Parthasarathi Panda,19-Oct-2025 01:13 PM,finsummary_545883.pdf (726.05 KB),BDO BADACHANA,Internal,"BFO, AEE, SO, CP,AE/ JE Concerned of Barchana Block",Parthasarathi Panda,19-Oct-2025 12:08 PM,techsummary_545883.pdf (135.16 KB),24-Oct-2025,"INR 1,359,678",180.0,Rabindra Kumar Pradhan,24-Oct-2025 04:28 PM,AOC_KalingaNodalSchool.pdf (320.00 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||BADCHANA Block,2025_PRBCN_113919_38,Tenderonline01 BAD/2025-26/2845/22.05.2025,Const of Additional Classroom of Kalinga Nodal UP School,1.0,3017347.0,PRASANA KUMAR SWAIN,INR,"1,155,862",1,3018360,AMINA CHARAN NAYAK,30-Jul-2025 04:21 PM,Rejected-Finance,Rejected in the transparent lottery,19-Oct-2025 01:13 PM,Finance,2 nos of bidders are admitted,Parthasarathi Panda,31-Jul-2025 11:55 AM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3017347,PRASANA KUMAR SWAIN,30-Jul-2025 10:40 AM,Accepted-AOC,L1 in the transparent lottery and done agreement submitting all security deposits.,24-Oct-2025 04:29 PM,,,,,,,AOC
