EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"74,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"SE CBT R and B Division, Choudwar","SE CBT R and B Division, Choudwar",16-Apr-2025 03:00 PM,01-May-2025 11:00 AM,16-Apr-2025 03:00 PM,30-Apr-2025 05:00 PM,16-Apr-2025 03:00 PM ,23-Apr-2025 05:00 PM ,16-Apr-2025 03:00 PM,30-Apr-2025 05:00 PM,05-Jun-2025 04:55 PM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, PAN, GSTIN, Affidavit, RC, EMD",Construction of Paddy Procurment centre at Badaghumuri at Barachana Block in the district of Jajpur for the year 2025-26,Construction of Paddy Procurment centre at Badaghumuri at Barachana Block in the district of Jajpur for the year 2025-26,Please refer Tender documents. ,NA ,"74,65,858",Civil Works - Buildings,NA ,Tender,90.0,120.0,Badachana,754296.0,NA ,NA ,NA ,"SE CBT R and B Division, Choudwar",No ,No,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,SE CBT (R and B)-01//2025-26,2025_EICCL_112546_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,27-Oct-2025,"INR 6,346,726",120.0,Ajit Kumar Ray,27-Oct-2025 03:49 PM,3.pdf (3369.00 KB),Actual date of commencement is dt.15.10.2025,1,2894548,CHIRANJIB DAS,25-Apr-2025 12:42 PM,Rejected-Technical,Inadequate T and P,05-Jun-2025 04:49 PM,A K Ray,Internal,S Mukherjee S Singh P Das,Ajit Kumar Ray,05-Jun-2025 04:49 PM,05-Jun-2025 04:55 PM,techsummary_536732.pdf (37850.98 KB),Finance,All are valid tender,Ajit Kumar Ray,27-Oct-2025 01:12 PM,finance_536732.pdf,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,2025_EICCL_112546_2,SE CBT (R and B)-01//2025-26,Construction of Paddy Procurment centre at Badaghumuri at Barachana Block in the district of Jajpur for the year 2025-26,Technical,All are valid tender,Ajit Kumar Ray,05-Jun-2025 04:40 PM,technical_536732.pdf,A K Ray,Internal,S Mukherjee S Singh I Priyadarshani,Ajit Kumar Ray,27-Oct-2025 03:44 PM,finsummary_536732.pdf (6298.47 KB),1.0,2901780.0,SURESH CONSTRION PROP DIBYAJYOTI SHREECHANDAN BISWAL,INR,"6,346,726",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2894771,CHITRASEN DAS,25-Apr-2025 02:30 PM,Rejected-Finance,Not winning in the lottery,27-Oct-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2902259,NIHARA RANJAN PAUL,30-Apr-2025 03:28 PM,Rejected-Finance,Not winning in the lottery,27-Oct-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2902516,PRAKASH KUMAR PANDA,30-Apr-2025 04:54 PM,Rejected-Technical,no documnet uploaded for valid licence beyond 31.03.25,05-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2893049,PRASANNA KUMAR ROUT,23-Apr-2025 09:22 PM,Rejected-Finance,Not winning in the lottery,27-Oct-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2894854,RAMAN RANJAN DAS,28-Apr-2025 09:04 AM,Rejected-Technical,Inadequate T and P,05-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2902159,SAGARIKA BISWAL,30-Apr-2025 02:59 PM,Rejected-Technical,Failed to secure qualifying mark,05-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2898976,SANJAY KUMAR MALLIK,28-Apr-2025 08:50 PM,Rejected-Technical,Non-furnishing of T and P,05-Jun-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2902063,SAURAV BISWAL,30-Apr-2025 02:10 PM,Rejected-Finance,Not winning in the lottery,27-Oct-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2901117,SOUDAMINI SETHY,29-Apr-2025 08:17 PM,Rejected-Finance,Not winning in the lottery,27-Oct-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,2901683,SOUMYA RANJAN NAYAK,30-Apr-2025 11:47 AM,Rejected-Finance,Not winning in the lottery,27-Oct-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,2901780,SURESH CONSTRION PROP DIBYAJYOTI SHREECHANDAN BISWAL,30-Apr-2025 12:25 PM,Accepted-AOC,Winner of the transparent Lottery,27-Oct-2025 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
