Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,All Bids are accepted by the Tender Committee Panchayat Samiti Chandrapur,Soumya Kanta Bangolla,04-Aug-2025 06:12 PM,finance_543827.pdf,BOQ Comparative Chart,1.0,2986359.0,JAGADISH PANDA,INR,"1,320,338",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||CHANDRAPUR,2025_PZPRC_114692_4,2025_CHANDRAPUR-6,Construction of ACR building at UGHS Hanumantpurl of Chandrapur Block,BDOchandrapurSoumyakantaBangolla,Internal,1BDOChandrapur2AEEChandrapur3SectionOfficerChandrapur4DusmantKisanJEChandrapur5DebasishGoudaJEChandrapur,Soumya Kanta Bangolla,30-Oct-2025 05:23 PM,finsummary_543827.pdf (630.04 KB),BDOchandrapurSoumyakantaBangolla,Internal,1BDOChandrapur2AEEChandrapur3SectionOfficerChandrapur4DusmantKisanJEChandrapur5DebasishGoudaJEChandrapur,Soumya Kanta Bangolla,04-Aug-2025 06:21 PM,techsummary_543827.pdf (1203.30 KB),31-Oct-2025,"INR 1,320,337.644",120.0,Soumya Kanta Bangolla,31-Oct-2025 08:09 PM,HanumantpurACR.pdf (530.00 KB),Conntract for construction of ACR at UGHS Hanumantpur is awarded to Sri Jagadish Panda being L-1 Bidder,1,2994720,ABHI HIAL,10-Jul-2025 09:38 AM,Rejected-Finance,Being L3 bidder,30-Oct-2025 05:23 PM,AOC,Construction of ACR building at UGHS Hanumantpurl of Chandrapur Block,Construction of ACR building at UGHS Hanumantpurl of Chandrapur Block,As per DTCN ,NA ,"15,53,156",Civil Works - Buildings,NA ,Tender,120.0,120.0,Hanumantpur,765020.0,NA ,NA ,NA ,Office of the BDO Chandrapur,No ,No,"15,532",Yes,fixed,,Nil,Nil,BDO Chandrapur,Panchayat office Chandrapur,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,RC,PAN,GST,AFFIDAVIT,EMD,PAPERCOST,CASTE CERTIFICATE etc",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||CHANDRAPUR,2025_CHANDRAPUR-6,2025_PZPRC_114692_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,23-Jun-2025 11:00 AM,11-Jul-2025 11:00 AM,23-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,NA ,NA ,23-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,"6,000",Nil,Nil,Yes,1.0,extension of bid date,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2985947,BIJAYA JAGERANGA,01-Jul-2025 09:29 PM,Rejected-Finance,Being L3 bidder,30-Oct-2025 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ for the Additional Classroom in Chandrapur Block,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2985978,GEORGE KDAISKA,02-Jul-2025 01:45 PM,Rejected-Finance,Being L3 bidder,30-Oct-2025 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2984489,GOURISANKAR MISHRA,01-Jul-2025 07:20 PM,Rejected-Finance,Being L3 bidder,30-Oct-2025 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2986359,JAGADISH PANDA,02-Jul-2025 03:53 PM,Accepted-AOC,being awarded as L-1 Bidder,31-Oct-2025 08:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2994878,MD SABIR SHEKH,10-Jul-2025 12:09 PM,Rejected-Finance,Being L2 bidder through Lottery,30-Oct-2025 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2994989,PITAMBAR PAIK,10-Jul-2025 01:45 PM,Rejected-Finance,Being L3 bidder,30-Oct-2025 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2992932,PRIYARANJAN SWAIN,08-Jul-2025 07:13 PM,Rejected-Finance,Being L3 bidder,30-Oct-2025 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
