S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3024832.0,Biswajeet Sahoo,INR,"12,914,486",Managing Director,Internal,,Debabrata Mohanty,22-Oct-2025 04:35 PM,finsummary_547730.pdf (1343.80 KB),Technical,Nineteen no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,14-Aug-2025 01:46 PM,,WATCO Bhubaneswar||Director (Projects) Watco,2025_DPWTC_116214_1,WATCO (P)-4(05)/2025-26 Dtd.23.07.2025,Laying of distribution water supply pipeline in newly developed areas of Pratapnagari area Under CMC,Finance,Seventeen no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,13-Sep-2025 02:07 PM,,BOQ Comparative Chart,Managing Director,Internal,,Debabrata Mohanty,12-Sep-2025 11:15 AM,13-Sep-2025 11:30 AM,techsummary_547730.pdf (2339.48 KB),22-Oct-2025,"INR 12,914,486",270.0,Debabrata Mohanty,22-Oct-2025 04:39 PM,AOC.PDF (1645.00 KB),1,3034780,ARACHIS ZEPPELIN SERVICES PRIVATE LIMITED,13-Aug-2025 03:47 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,Director Projects,"The Director Projects, Office of the Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444","11,800",Nil,Nil,No,1.0,ICICI BANK,"1,52,000",Yes,fixed,,Nil,Nil,30-Jul-2025 11:00 AM,14-Aug-2025 12:30 PM,30-Jul-2025 11:00 AM,13-Aug-2025 05:00 PM,NA ,NA ,30-Jul-2025 11:00 AM,13-Aug-2025 05:00 PM,13-Sep-2025 11:30 AM,WATCO Bhubaneswar||Director (Projects) Watco,WATCO (P)-4(05)/2025-26 Dtd.23.07.2025,2025_DPWTC_116214_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Laying of distribution water supply pipeline in newly developed areas of Pratapnagari area Under CMC,Laying of distribution water supply pipeline in newly developed areas of Pratapnagari area Under CMC,Please refer Tender documents. ,NA ,"1,51,92,000",Civil Works - Water Works,NA ,Tender,120.0,270.0,"Pratapnagari, Cuttack",753011.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3032996,BIJAN ROUT,12-Aug-2025 12:29 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3024832,Biswajeet Sahoo,05-Aug-2025 04:28 PM,Accepted-AOC,Lowest bidder in Lottery,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3029635,BISWAJIT SAHU,10-Aug-2025 12:21 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3032742,CHINTAMANI KUNDA,13-Aug-2025 10:42 AM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3034762,JRC Infra,13-Aug-2025 03:34 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3030901,M/S GAURAV INFRA,11-Aug-2025 09:49 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3025226,NILENDRI SAHOO,06-Aug-2025 06:23 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3033084,Prasanta Kumar Gochhayat,12-Aug-2025 01:41 PM,Rejected-AOC,Not a lowest bidder,22-Oct-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3032786,RANJIT KUMAR SWAIN,13-Aug-2025 02:10 PM,Rejected-Technical,Technically disqualified,12-Sep-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
