Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Tender open by technical committee held on dt.11.07.2025,Sudhakar Naik,11-Jul-2025 12:53 PM,finance_544548.pdf,BOQ Comparative Chart,1.0,2993837.0,KISHOR CHANDRA DAS,INR,"2,587,942",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_114909_1,RWD CTC 01 OF 2025-26,Construction of Proposed E Type Quarter of Govt. Homeopathic Dispensary Building at Dhanamandal in the District of Cuttack,"S.E, R.W.Division, Cuttack",Internal,"DAI-I and A.E. R.W.Division, Cuttack",Priyadarshini Balsamanta,31-Oct-2025 08:31 AM,finsummary_544548.pdf (1510.60 KB),"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. R.W.Division, Cuttack",Priyadarshini Balsamanta,31-Oct-2025 08:24 AM,techsummary_544548.pdf (1510.60 KB),1,2994961,CHINMAYEE SAHOO,10-Jul-2025 01:16 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,31-Oct-2025,"INR 2,587,942",180.0,Priyadarshini Balsamanta,31-Oct-2025 08:41 AM,WO.pdf (683.00 KB),AOC,Divisional Officer,"RURAL WORKS DIVISION, CUTTACK At.-REO Colony, Po-Nayabazar, Dist.-Cuttack",30-Jun-2025 11:00 AM,11-Jul-2025 11:00 AM,30-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,30-Jun-2025 11:00 AM ,09-Jul-2025 05:00 PM ,30-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD PAN Affidavit,correctness and No relation certificate",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC 01 OF 2025-26,2025_CERWI_114909_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"30,443",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Proposed E Type Quarter of Govt. Homeopathic Dispensary Building at Dhanamandal in the District of Cuttack,Construction of Proposed E Type Quarter of Govt. Homeopathic Dispensary Building at Dhanamandal in the District of Cuttack,Refer tender documents ,NA ,"30,44,280",Civil Works - Buildings,NA ,Tender,90.0,180.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, CUTTACK",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2993837,KISHOR CHANDRA DAS,09-Jul-2025 01:15 PM,Accepted-AOC,Selected through lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2994924,PADMALOCHAN PRADHAN,10-Jul-2025 12:47 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2994574,RABINDRA BEHERA,10-Jul-2025 02:57 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2994272,RASHMI RANJAN SWAIN,09-Jul-2025 05:45 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2995161,SK SOAEB ALLI,10-Jul-2025 04:01 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2994600,SUGYAN KUMAR SWAIN,09-Jul-2025 09:38 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2995330,SWAPNA BIJAYINI MOHANTY,10-Jul-2025 04:35 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2995346,ULINK SERVICES Prop. DUSHASAN DALAI,10-Jul-2025 04:40 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2995353,UTTAM KUMAR ROUT,10-Jul-2025 04:51 PM,Rejected-AOC,Not selected in lottery,31-Oct-2025 08:42 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
