Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Tender opened,CHANDRAKANTA MAJHI,10-Oct-2025 11:32 AM,finance_543153.pdf,BOQ Comparative Chart,1.0,2979762.0,LAICHAN KARKARIA,INR,"4,137,844",ST and SC Development Deptt||ITDA Rayagada,2025_STSCD_114473_8,ITDARGDA 02/2025-26,"Construction 4 Nos. of Additional Class Room at Ashram School, Badanaikaguda, G.P-Pujariguda, Block-K.Singpur",PAITDA,Internal,JE AE AEE and PA ITDA Rayagada,CHANDRAKANTA MAJHI,10-Oct-2025 11:46 AM,finsummary_543153.pdf (889.71 KB),PAITDA,Internal,JE AE AEE and PA ITDA Rayagada,CHANDRAKANTA MAJHI,10-Oct-2025 11:35 AM,techsummary_543153.pdf (889.71 KB),10-Oct-2025,"INR 4,137,844",90.0,CHANDRAKANTA MAJHI,10-Oct-2025 12:15 PM,Work_order_4Nos_Add_Class_Room_Badanaikaguda.pdf (750.00 KB),Letter No 1898 dated 26-09-2025 of PA ITDA Rayagada,1,2980717,BANANI PADHIHARI,26-Jun-2025 02:12 PM,Rejected-AOC,1st Lowest,10-Oct-2025 12:17 PM,AOC,"Construction 4 Nos. of Additional Class Room at Ashram School, Badanaikaguda, G.P-Pujariguda, Block-K.Singpur",Building works,Please refer Tender documents. ,NA ,"48,67,479",Civil Works - Buildings,NA ,Tender,90.0,90.0,Rayagada,765001.0,NA ,NA ,NA ,PA ITDA RAyagada,No ,No,PA ITDA RAyagada,PA ITDA RAyagada,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, PAN,GSTIN, Affidavit, Regd. Certificate, and other documents as per DTCN.","48,700",Yes,fixed,,Nil,Nil,ST and SC Development Deptt||ITDA Rayagada,ITDARGDA 02/2025-26,2025_STSCD_114473_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,16-Jun-2025 10:00 AM,27-Jun-2025 11:00 AM,16-Jun-2025 10:00 AM,26-Jun-2025 05:00 PM,16-Jun-2025 10:00 AM ,26-Jun-2025 05:00 PM ,16-Jun-2025 10:00 AM,26-Jun-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2979415,HIKAKA SUBASH,24-Jun-2025 07:36 PM,Rejected-AOC,1st Lowest,10-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2979762,LAICHAN KARKARIA,25-Jun-2025 11:35 AM,Accepted-AOC,2nd Lowest selected through transparent lottery system,10-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2979093,MELAKA MANIKA RAO,24-Jun-2025 01:26 PM,Rejected-AOC,2nd Lowest,10-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2979983,SABITA MISHRA,25-Jun-2025 02:16 PM,Rejected-AOC,1st Lowest,10-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
