S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,13-Jan-2025 05:00 PM,05-Feb-2025 11:00 AM,13-Jan-2025 05:00 PM,04-Feb-2025 05:00 PM,NA ,NA ,13-Jan-2025 05:00 PM,04-Feb-2025 05:00 PM,22-Apr-2025 05:00 PM,"10,000",0.0,Nil,Nil,No,1.0,Date Corrigendum,Date,,"7,86,524",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",Improvement of NH-5 Samantasingharpur Kaluri- 3.46 km and Gangadharpur Kumandalapatna-4.305Km under MMSY-Improvement to Existing RD road in the Dist. of Khordha for the year 2024-25,Improvement of NH-5 Samantasingharpur Kaluri- 3.46 km and Gangadharpur Kumandalapatna-4.305Km under MMSY-Improvement to Existing RD road in the Dist. of Khordha for the year 2024-25,Please refer Tender documents. ,NA ,"7,86,52,391",Civil Works - Roads,NA ,Tender,90.0,330.0,Bhubaneswar,751022.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-26 of 2024,2025_CERWI_109210_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Construction Engineer,","O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",AOC,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionII Nayagarh SrDAORWDivision Bhubaneswar PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,19-Jun-2025 12:33 PM,finsummary_525561.pdf (267.58 KB),Technical,9 nos bidder participated in the tender,Mausumi Mishra,05-Feb-2025 04:45 PM,,CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_109210_5,Tender Online C.C-26 of 2024,Improvement of NH-5 Samantasingharpur Kaluri- 3.46 km and Gangadharpur Kumandalapatna-4.305Km under MMSY-Improvement to Existing RD road in the Dist. of Khordha for the year 2024-25,1.0,2791866.0,Shaikh Sahanwaz,INR,"66,862,397",26-Sep-2025,"INR 66,862,397",330.0,Priyambada Swain,23-Oct-2025 03:59 PM,SamantasingharpurAgmtDetails.pdf (2358.00 KB),"Work order letter No.8225 dtd.26.09.2025 and Agmt No.40 P1 of 2025-26 dtd.26.09.2025 of Superintending Engineer, Rural Works Division, Bhubaneswar",1,2796789,BICHITRANANDA SAMANTARAY,04-Feb-2025 02:43 PM,Rejected-Finance,Other than L1 and L2,19-Jun-2025 12:33 PM,Finance,9 nos bidder qualified in the tender,Mausumi Mishra,22-Apr-2025 07:02 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivisionII Nayagarh SrDAORWDivision Bhubaneswar PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,19-Apr-2025 03:53 PM,22-Apr-2025 05:00 PM,techsummary_525561.pdf (705.89 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Other Corrigendum1,Other,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2791949,FAYAJ INFRATECH PVT LTD,03-Feb-2025 11:03 PM,Rejected-AOC,Rejected,23-Oct-2025 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2796942,G.B.S CONSTRUCTIONS,04-Feb-2025 03:42 PM,Rejected-Finance,Other than L1,19-Jun-2025 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2796422,MS CHANDRA MOHAN OJHA,04-Feb-2025 01:21 PM,Rejected-Finance,Other than L1 and L2,19-Jun-2025 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2796883,RASMIRANJAN DAS,04-Feb-2025 03:22 PM,Rejected-AOC,Rejected,23-Oct-2025 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2796628,R K ASSOCIATES,04-Feb-2025 01:37 PM,Rejected-Finance,Other than L1 and L2,19-Jun-2025 12:33 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2796431,SAI ANURAG BISWAL,04-Feb-2025 12:22 PM,Rejected-AOC,Rejected,23-Oct-2025 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2791866,Shaikh Sahanwaz,03-Feb-2025 10:53 PM,Accepted-AOC,Accepted,23-Oct-2025 04:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2796448,Subash Chandra Mohanty,04-Feb-2025 03:06 PM,Rejected-Finance,Other than L1 and L2,19-Jun-2025 12:33 PM,,,,,,,,,,,,,,AOC
