Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-01/2025-26,2025_OLIC_114438_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"13,576",Yes,percentage,1.0%,Nil,Nil,"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN",Revival of Kumbhekela-II defunct L.I.Project under Saintala Block (State Plan Fund),Revival of Kumbhekela-II defunct L.I.Project under Saintala Block (State Plan Fund),Please refer Tender documents. ,NA ,"13,57,589",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BALANGIR,767002.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Balangir",No ,No,"E.E., L.I. Division, Balangir","O/O. the E.E., L.I. Division, Balangir",17-Jun-2025 11:00 AM,25-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,17-Jun-2025 11:00 AM ,23-Jun-2025 05:00 PM ,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,AOC,10-Oct-2025,"INR 1,357,589",90.0,APARNA MISHRA,10-Oct-2025 07:58 AM,25.pdf (1014.00 KB),Success on Lottery System,1,2974851,ALOK KUMAR BOHIDAR,20-Jun-2025 11:42 AM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,EE,Internal,EE and others,APARNA MISHRA,10-Oct-2025 07:50 AM,techsummary_543080.pdf (365.65 KB),EE,Internal,EE and others,APARNA MISHRA,10-Oct-2025 07:54 AM,finsummary_543080.pdf (196.67 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2025_OLIC_114438_25,OLIC-BLGR-01/2025-26,Revival of Kumbhekela-II defunct L.I.Project under Saintala Block (State Plan Fund),1.0,2976587.0,ANKIT KUMAR AGRAWAL,INR,"1,154,087",Finance,13 Nos. Bidder,APARNA MISHRA,28-Sep-2025 10:56 AM,finance_543080.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2976587,ANKIT KUMAR AGRAWAL,21-Jun-2025 05:06 PM,Accepted-AOC,Success on Lottery System,10-Oct-2025 07:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2979089,ANTARYAMEE SAI,24-Jun-2025 02:12 PM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2978635,BIJAYA KUMAR JAIN,24-Jun-2025 12:19 PM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2978307,CHANDRAKANTI SAHU,23-Jun-2025 02:14 PM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2975925,KAPIL KUMAR JAIN,21-Jun-2025 07:26 PM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2976471,MAITHILI PANIGRAHI,21-Jun-2025 11:59 AM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2976350,MS Shree Shyam and Co,23-Jun-2025 12:32 PM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2978309,PRASANTA KUMAR RATH,23-Jun-2025 04:48 PM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2978917,RAHUL KUMAR SAHU,24-Jun-2025 11:37 AM,Rejected-Finance,Unsuccess on Lottery System,10-Oct-2025 07:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
