S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3046751.0,DEEPAK KUMAR NATH,INR,"6,429,389.655",Executive Engineer,Internal,,Saraseebala Behera,27-Oct-2025 01:24 PM,finsummary_549190.pdf (1654.60 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_116839_1,"TCN-07RWD-II,BHADRAK",Construction of flood resilient road from Srirampur to Patrisahi road -Box cell culvert -2x6x3 for 2024-25,Technical,total 29 bidders accepted,Saraseebala Behera,30-Aug-2025 05:01 PM,,Finance,total 29 bidders accepted,Lambodar Naik,11-Sep-2025 12:42 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Lambodar Naik,09-Sep-2025 10:38 AM,11-Sep-2025 11:00 AM,techsummary_549190.pdf (1669.71 KB),1,3044120,ANIL KUMAR PATRA,22-Aug-2025 11:05 AM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,27-Oct-2025,"INR 6,429,389.655",90.0,Saraseebala Behera,27-Oct-2025 01:28 PM,Deepak.pdf (732.00 KB),AOC,"75,630",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,14-Aug-2025 04:00 PM,26-Aug-2025 11:00 AM,14-Aug-2025 04:00 PM,25-Aug-2025 05:00 PM,14-Aug-2025 04:00 PM ,25-Aug-2025 03:00 PM ,14-Aug-2025 04:00 PM,25-Aug-2025 05:00 PM,11-Sep-2025 11:00 AM,Divisional Officer,"RURAL WORKS DIVISION NO.II, BHADRAK",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,"TCN-07RWD-II,BHADRAK",2025_CERWI_116839_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","10,000",0.0,Nil,Nil,No,Construction of flood resilient road from Srirampur to Patrisahi road -Box cell culvert -2x6x3 for 2024-25,Construction of flood resilient road from Srirampur to Patrisahi road -Box cell culvert -2x6x3 for 2024-25,NA ,NA ,"75,63,098",Civil Works - Roads,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BHADRAK",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3045464,Anshuman Swain,23-Aug-2025 01:05 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3044730,Arun Kumar Das,22-Aug-2025 04:26 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3045463,BIKASH NAYAK,23-Aug-2025 01:03 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3047278,Binay Kumar Tarai,25-Aug-2025 11:29 AM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3043653,BISHNU CHARAN BARICK,21-Aug-2025 03:41 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3045565,Debabrata Sahoo,23-Aug-2025 03:26 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3046751,DEEPAK KUMAR NATH,24-Aug-2025 07:00 PM,Accepted-AOC,Selected through transparent lottery system,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3045815,DEEPTI RANJAN PANDA,23-Aug-2025 06:10 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3044038,DIBYA RANJAN DAS,22-Aug-2025 12:12 PM,Rejected-AOC,rejected,27-Oct-2025 01:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
