Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Finance,2 Nos of bidders have been participated.,Rojalisa Rout,03-Sep-2025 12:40 PM,,BOQ Comparative Chart,1.0,3019499.0,MANABHANJAN PADHI,INR,"1,270,011.18",Municipal Bodies||Balangir Municipality,2025_ORULB_115888_2,BLGRMPTY/06(01-17)/2025-26,"Const. of Paver Road and Drain with Cover slab from Belei res to Bariha res,W.No.3","SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,24-Oct-2025 07:12 PM,finsummary_547025.pdf (190.24 KB),"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Rojalisa Rout,15-Sep-2025 06:20 PM,techsummary_547025.pdf (443.88 KB),1,3019512,ASHOK PRADHAN,31-Jul-2025 05:23 PM,Rejected-Finance,other then L1 Bidder,24-Oct-2025 07:12 PM,25-Oct-2025,"INR 1,270,011.18",90.0,Sanjay Kumar Mohanty,25-Oct-2025 05:43 PM,WO620252602.pdf (721.00 KB),After approval of the tender Committee contractor Sri Manabhanjan Padhii is awarded the work.,AOC,23-Jul-2025 02:00 PM,04-Aug-2025 11:00 AM,23-Jul-2025 02:00 PM,02-Aug-2025 05:00 PM,NA ,NA ,23-Jul-2025 02:00 PM,02-Aug-2025 05:00 PM,"Const. of Paver Road and Drain with Cover slab from Belei res to Bariha res,W.No.3",Road and Drain with Cover Slab work,Please refer tender Documents  ,NA ,"12,70,138",Civil Works - Roads,NA ,Tender,120.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Municipal Bodies||Balangir Municipality,BLGRMPTY/06(01-17)/2025-26,2025_ORULB_115888_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN","6,000",0.0,Nil,Nil,No,"12,701",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3019499,MANABHANJAN PADHI,31-Jul-2025 05:05 PM,Accepted-AOC,L1,25-Oct-2025 05:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
