S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
1.0,3044363.0,M/s Jayasri Pradhan,INR,"20,837,850",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_116602_23,09/OPHWC/2025-26,Constn. of 8 nos. F type Staff Qtrs. at Burla Fire Station in Sambalpur District,1,3043520,ANIL KUMAR HOTA,21-Aug-2025 05:50 PM,Rejected-Finance,DUE TO L1 BIDDER BUT UNSUCCESSFUL IN TRANSPARENT LOTTERY SYSTEM,30-Oct-2025 12:47 PM,30-Oct-2025,"INR 20,837,850",300.0,Bikram Keshari Malla,30-Oct-2025 12:52 PM,BURLA_WO.pdf (389.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 29.10.2025,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,30-Oct-2025 12:47 PM,finsummary_548808.pdf (382.69 KB),Technical,5 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,02-Sep-2025 05:06 PM,,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,23-Sep-2025 07:29 PM,24-Sep-2025 10:30 AM,techsummary_548808.pdf (345.47 KB),Finance,financial bid opened,MONALISHA PADHY,24-Sep-2025 11:17 AM,,BOQ Comparative Chart,AOC,Orissa State Police Housing and Welfare Corporation Ltd,09/OPHWC/2025-26,2025_OSPHW_116602_23,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,Constn. of 8 nos. F type Staff Qtrs. at Burla Fire Station in Sambalpur District,Building Work,Please refer Tender documents. ,NA ,"2,45,12,234",Civil Works - Buildings,NA ,Tender,90.0,300.0,Sambalpur,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,08-Aug-2025 06:55 PM,25-Aug-2025 10:30 AM,08-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,NA ,NA ,08-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,24-Sep-2025 10:30 AM,"2,45,100",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,AOC
,,,,,,,,,2,3044363,M/s Jayasri Pradhan,22-Aug-2025 01:55 PM,Accepted-AOC,QUALIFIED BIDDER,30-Oct-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,3,3044262,PRAVEEN AGRAWAL,22-Aug-2025 03:38 PM,Rejected-Finance,DUE TO L3 BIDDER,30-Oct-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
,,,,,,,,,4,3044218,SOURAV AGRAWAL,22-Aug-2025 11:54 AM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,23-Sep-2025 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3044025,SURESH CHANDRA DASH,22-Aug-2025 02:54 PM,Rejected-Finance,DUE TO L2 BIDDER,30-Oct-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
