Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Accepted this tender Work SI.No. 43 of Bid Identification No. 02/2025-26 due to more than one bidders are participating. Evaluation or scrutinization is to be taken up after opening of technical bid with all criteria.,Jogaranjan Nayak,25-Oct-2025 07:47 PM,finance_544227.pdf,BOQ Comparative Chart,25-Oct-2025,"INR 4,852,360.6",180.0,Jogaranjan Nayak,25-Oct-2025 08:03 PM,AOCdetails02202526.pdf (2883.00 KB),"Deepak Kumar Mohanty B Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1.0,2995901.0,DEEPAK KUMAR MOHANTY,INR,"4,852,360.6",ST and SC Development Deptt||ITDA Rairangpur,2025_STSCD_114749_43,TCN02/2025-26,Upgradation of PSH Building at Bijatala School under Bijatola Block.,1,2998556,ABHISEK KUMAR MOHANTY,14-Jul-2025 09:55 AM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,Jogaranjannayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,25-Oct-2025 07:52 PM,techsummary_544227.pdf (532.97 KB),Jogaranjannayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,25-Oct-2025 07:56 PM,finsummary_544227.pdf (532.97 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"PA, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",ST and SC Development Deptt||ITDA Rairangpur,TCN02/2025-26,2025_STSCD_114749_43,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Upgradation of PSH Building at Bijatala School under Bijatola Block.,Upgradation of PSH Building at Bijatala School under Bijatola Block.,As per tender documents. ,NA ,"57,07,988",Civil Works - Buildings,NA ,Tender,90.0,180.0,Bijatala,757048.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"57,080",Yes,percentage,1.0%,Nil,Nil,24-Jun-2025 06:00 PM,15-Jul-2025 11:00 AM,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,NA ,NA ,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2997094,AMARENDRA MOHANTA,12-Jul-2025 09:08 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2999052,ANIRUDHA GIRI,14-Jul-2025 02:23 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2995901,DEEPAK KUMAR MOHANTY,11-Jul-2025 08:22 PM,Accepted-AOC,Lottery Winner L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2997876,MANGAT MAJHI,13-Jul-2025 01:14 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2998018,RANJIT KUMAR NANDA,13-Jul-2025 03:30 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2986877,SANTOSH GIRI,02-Jul-2025 05:57 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2997978,SARBESWAR MOHANTA,13-Jul-2025 02:22 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2998241,SAROJ KUMAR PARIDA,13-Jul-2025 07:50 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2985772,SUBHASISH MOHAPATRA,14-Jul-2025 04:42 PM,Rejected-AOC,L1,25-Oct-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
