Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Jajpur,2479/04.07.2025,2025_OSCSC_115210_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,Tender Document,"1,00,000",No,fixed,,Nil,Nil,1,Modification of clauses,Other,,09-Jul-2025 11:00 AM,29-Jul-2025 11:00 AM,09-Jul-2025 11:00 AM,28-Jul-2025 09:00 AM,NA ,NA ,09-Jul-2025 11:00 AM,28-Jul-2025 09:00 AM,08-Aug-2025 11:00 AM,"CSO-cum-DM, Jajpur","O/o the CSO-cum-DM., Jajpur At/Po/Dist-Jajpur 755001",Selection and appointment of Leve-II Transport Contractor for transportation of CMR from RRCs to FPSs of Vyasanagar Municipality for the Year 2025-26 and 2026-27.,Selection and appointment of Leve-II Transport Contractor for transportation of CMR from RRCs to FPSs of Vyasanagar Municipality for the Year 2025-26 and 2026-27.,Please refer Tender documents. ,NA ,"8,85,714",Handling and Transportation,NA ,Tender,180.0,575.0,FPSs of Vyasanagar municipality,755001.0,"O/o the CSO-cum-DM., Jajpur ","O/o the CSO-cum-DM., Jajpur At/Po/Dist-Jajpur 755001 ",18-Jul-2025 11:00 AM ,"Collectorate, Jajpur",No ,No,"5,900",0.0,Nil,Nil,No,AOC,1,3009354,BIJAYA KUMAR PATI,27-Jul-2025 07:26 PM,Rejected-Finance,Above 25 percentage of SOR,04-Oct-2025 12:24 PM,04-Oct-2025,"INR 885,714",575.0,SK MOHAMMED IZHARUL HAQUE,04-Oct-2025 12:32 PM,negotiatedproceedingfinance2527.pdf (1197.00 KB),Above 7% of Estimated Contract Value,"Collector, Jajpur.",Internal,"CSO-cum-DM,Jajpur,RTO/DSWO/DLO,Jajpur",SK MOHAMMED IZHARUL HAQUE,07-Aug-2025 08:20 PM,08-Aug-2025 11:00 AM,techsummary_545308.pdf (3259.68 KB),Finance,Opening of Financial Bid.,SK MOHAMMED IZHARUL HAQUE,08-Aug-2025 04:18 PM,finance_545308.pdf,BOQ Comparative Chart,Technical,Opening of Technical Bid.,SK MOHAMMED IZHARUL HAQUE,30-Jul-2025 01:20 PM,technical_545308.pdf,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Jajpur,2025_OSCSC_115210_1,2479/04.07.2025,Selection and appointment of Leve-II Transport Contractor for transportation of CMR from RRCs to FPSs of Vyasanagar Municipality for the Year 2025-26 and 2026-27.,"Collector, Jajpur.",Internal,"DLO,Jajpur, DSWO,Jajpur,RTO,Jajpur,CSO,Jajpur",SK MOHAMMED IZHARUL HAQUE,04-Oct-2025 12:24 PM,finsummary_545308.pdf (1197.44 KB),1.0,3009875.0,JAGADISWAR MALLICK,INR,1.07,AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,,,,,,,2,Technical Bid,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3009875,JAGADISWAR MALLICK,27-Jul-2025 05:33 PM,Accepted-AOC,Above 7 percentage of SOR,04-Oct-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
