Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,12nos bids received,Mohammed Shahbaz,12-Aug-2025 04:26 PM,,BOQ Comparative Chart,30-Oct-2025,"INR 1,441,092",30.0,Mohammed Shahbaz,30-Oct-2025 06:57 PM,116114_15_A.pdf (407.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 10.09.2025 to complete the work by 09.10.2025 in all respect,1.0,3019681.0,SATYABRATA PATTANAIK,INR,"1,441,092",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_116114_15,SE CTC (RandB)-22 of 2025-26,S/R to Ring road from Sikharapur to Khannagar via Bidanasi and Belview Chhak for the year 2025-26 such as periodical renewal coat with SDBC in patches in between ch.0/0 to 1/100km and 2/0km to 2/300km,1,3020339,AMIYA SAMANTRAY,07-Aug-2025 12:40 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,Er Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibas Sr DAO,Mohammed Shahbaz,22-Aug-2025 05:33 PM,techsummary_547488.pdf (666.85 KB),Er. Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibash Sr DAO,Mohammed Shahbaz,30-Oct-2025 06:52 PM,finsummary_547488.pdf (917.46 KB),AOC,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",1.0,ICICI BANK,25-Jul-2025 05:00 PM,11-Aug-2025 11:00 AM,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,NA ,NA ,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,S/R to Ring road from Sikharapur to Khannagar via Bidanasi and Belview Chhak for the year 2025-26 such as periodical renewal coat with SDBC in patches in between ch.0/0 to 1/100km and 2/0km to 2/300km,Road work,As per DTCN ,NA ,"16,95,203",Civil Works - Roads,NA ,Tender,90.0,30.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,"17,000",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-22 of 2025-26,2025_EICCL_116114_15,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3026489,ITISHREE MOHANTY,06-Aug-2025 11:58 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3027764,PRATIKSHYA PRIYADARSINI ROUT,07-Aug-2025 09:43 PM,Rejected-Technical,Disqualified due to non submission of Schedule-F,22-Aug-2025 05:33 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3017889,PRIYABRATA DAS,01-Aug-2025 12:43 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3027768,RABINDRA KUMAR SWAIN,07-Aug-2025 10:44 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3026053,RAMAKANTA DEBATA,06-Aug-2025 05:42 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3025131,SAMARJEET SWAIN,06-Aug-2025 03:40 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3021020,SARADA PRASAD GIRI,02-Aug-2025 12:00 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3019681,SATYABRATA PATTANAIK,31-Jul-2025 07:33 PM,Accepted-AOC,Accepted,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3020914,Sri Jagabandhu Sethy,01-Aug-2025 08:18 PM,Rejected-AOC,Rejected,30-Oct-2025 06:57 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
