S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2933716.0,M/S PRATIBHA CONSTRUCTION,INR,"756,355",Finance,Open Bid,SRIKANTA ROUT,11-Jun-2025 12:05 PM,,BOQ Comparative Chart,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,15-Sep-2025 05:37 PM,finsummary_539664.pdf (470.63 KB),Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2025_OLIC_113447_73,EE/OLIC/BGH-01/2025-26,Execution of Reinforcement work of Beherapali -I R.L. Project under Sohela Block in Bargarh District,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,10-Sep-2025 06:15 PM,techsummary_539664.pdf (470.63 KB),1,2941674,DEBANAND BARIHA,30-May-2025 09:33 AM,Rejected-Technical,Unsuccessful bidder,10-Sep-2025 06:15 PM,13-Oct-2025,"INR 756,355",60.0,Surya Narayan Tripathy,13-Oct-2025 12:19 PM,1021PratibhaConstruction.pdf (697.00 KB),Awarded Bidder,AOC,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,EE/OLIC/BGH-01/2025-26,2025_OLIC_113447_73,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,897",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate, Affidavit, and other as per DTCN",17-May-2025 10:00 AM,31-May-2025 11:00 AM,17-May-2025 10:00 AM,30-May-2025 05:00 PM,17-May-2025 10:00 AM ,29-May-2025 05:00 PM ,17-May-2025 10:00 AM,30-May-2025 05:00 PM,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",1.0,Date Extended for participate and other clause Modified,Date,,"4,720",0.0,Nil,Nil,No,1.0,ICICI BANK,Execution of Reinforcement work of Beherapali -I R.L. Project under Sohela Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"8,89,725",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2931176,KHARABELA KHAMARI,27-May-2025 04:59 PM,Rejected-Technical,Unsuccessful bidder,10-Sep-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2931054,KUNALA DEBATA,24-May-2025 06:44 PM,Rejected-Technical,Unsuccessful bidder,10-Sep-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2933716,M/S PRATIBHA CONSTRUCTION,29-May-2025 09:18 AM,Accepted-AOC,Awarded Bidder,13-Oct-2025 12:19 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2936916,M/S SAI BALAJI CONSTRUCTION,29-May-2025 07:22 AM,Rejected-Technical,Unsuccessful bidder,10-Sep-2025 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
