S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"EO, BIJEPUR NAC",BIJEPUR NAC,06-Sep-2025 10:00 AM,16-Sep-2025 11:00 AM,06-Sep-2025 10:00 AM,15-Sep-2025 05:00 PM,06-Sep-2025 10:00 AM ,08-Sep-2025 05:00 PM ,06-Sep-2025 10:00 AM,15-Sep-2025 05:00 PM,"35,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Cost of Tender Paper, EMD, Affidavit and other documents as per DTCN","Construction of Entrance Gate, Security Cabin and boundary wall of New NAC Office building, Bijepur under Development of Infrastructure 5th SFC for the year 2024-25",CIVIL,Please refer Tender documents. ,NA ,"35,40,017",Civil Works - Buildings,NA ,Tender,120.0,90.0,BIJEPUR NAC,768032.0,NA ,NA ,NA ,O/O BIJEPUR NAC,No ,No,Municipal Bodies||Bijepur NAC,NACB/2025-26/1431/03,2025_ORULB_117595_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Municipal Bodies||Bijepur NAC,2025_ORULB_117595_1,NACB/2025-26/1431/03,"Construction of Entrance Gate, Security Cabin and boundary wall of New NAC Office building, Bijepur under Development of Infrastructure 5th SFC for the year 2024-25",SITA BARIK,Internal,"TAHASILDAR, EO, ME, BFO",Ajaya Kumar Patra,10-Oct-2025 05:44 PM,finsummary_551176.pdf (381.29 KB),Finance,"Construction of Entrance Gate, Security Cabin and boundary wall of New NAC Office building, Bijepur under Development of Infrastructure 5th SFC for the year 2024-25",Ajaya Kumar Patra,10-Oct-2025 05:32 PM,,BOQ Comparative Chart,1.0,3081511.0,AJIT KUMAR DASH,INR,"3,009,368",1,3081511,AJIT KUMAR DASH,15-Sep-2025 03:50 PM,Accepted-AOC,L1,10-Oct-2025 05:51 PM,10-Oct-2025,"INR 3,009,368",90.0,Ajaya Kumar Patra,10-Oct-2025 05:51 PM,Boundary.pdf (1602.00 KB),"Construction of Entrance Gate, Security Cabin and boundary wall of New NAC Office building, Bijepur under Development of Infrastructure 5th SFC for the year 2024-25",SITA BARIK,Internal,"TAHASILDAR, EO, ME, BFO",Ajaya Kumar Patra,10-Oct-2025 05:38 PM,techsummary_551176.pdf (381.29 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3079569,ANIL KUMAR MEHER,14-Sep-2025 04:15 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3078838,ARABINDA BABU,13-Sep-2025 06:03 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3077227,Arati Sahu,14-Sep-2025 04:50 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3079793,Bijaya Taria,14-Sep-2025 05:02 PM,Rejected-AOC,L2,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3079355,CHANDRAMA PANIGRAHI,15-Sep-2025 02:45 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3081149,CHINMAYA KUMAR LENKA,15-Sep-2025 01:43 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3078845,CHINTAMANI SAHU,13-Sep-2025 10:20 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3079244,JITEN SUNA,14-Sep-2025 10:01 AM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3081008,MANMOHAN SWAIN,15-Sep-2025 12:57 PM,Rejected-AOC,L3,10-Oct-2025 05:51 PM,,,,,,,,,,,,,,AOC
