Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,09-Sep-2025 06:25 PM,techsummary_539580.pdf (470.62 KB),1,2938121,KHARABELA KHAMARI,28-May-2025 07:21 PM,Accepted-AOC,Awarded bidder,06-Oct-2025 12:30 PM,06-Oct-2025,"INR 723,830",60.0,Surya Narayan Tripathy,06-Oct-2025 12:29 PM,1004Kharabela.pdf (811.00 KB),Awarded bidder,1.0,2938121.0,KHARABELA KHAMARI,INR,"723,830",Finance,Open Bid,SRIKANTA ROUT,31-May-2025 07:18 PM,finance_539580.pdf,BOQ Comparative Chart,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,15-Sep-2025 01:04 PM,finsummary_539580.pdf (470.63 KB),Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2025_OLIC_113447_31,EE/OLIC/BGH-01/2025-26,Execution of Revival work of Sampia-II R.L. Project under Padampur Block in Bargarh District,AOC,1.0,ICICI BANK,Execution of Revival work of Sampia-II R.L. Project under Padampur Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"8,51,464",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,"8,515",Yes,percentage,1.0%,Nil,Nil,1.0,Date Extended for participate and other clause Modified,Date,,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,EE/OLIC/BGH-01/2025-26,2025_OLIC_113447_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-May-2025 10:00 AM,31-May-2025 11:00 AM,17-May-2025 10:00 AM,30-May-2025 05:00 PM,17-May-2025 10:00 AM ,29-May-2025 05:00 PM ,17-May-2025 10:00 AM,30-May-2025 05:00 PM,"4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate, Affidavit, and other as per DTCN","Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",AOC
,,,,,,2,2931849,MOHAMMED SALMAN,27-May-2025 10:20 PM,Rejected-Technical,Unsuccessful bidder,09-Sep-2025 06:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC
,,,,,,3,2934054,M/S Maa Durga Agancy,30-May-2025 02:52 AM,Rejected-Technical,Unsuccessful bidder,09-Sep-2025 06:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2934361,M/S SAI BALAJI CONSTRUCTION,29-May-2025 06:49 AM,Rejected-Technical,Unsuccessful bidder,09-Sep-2025 06:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
