Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||JAJPUR Block,Tender Online 01 JJB of 2025-26,2025_PRJAJ_114823_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Jul-2025 05:00 PM,15-Jul-2025 11:30 AM,02-Jul-2025 05:00 PM,11-Jul-2025 05:00 PM,02-Jul-2025 05:00 PM ,11-Jul-2025 01:00 PM ,02-Jul-2025 05:00 PM,11-Jul-2025 05:00 PM,"BDO,JAJPUR","PANCHYAT SAMITI,JAJPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTN,AFFIDAVIT,ONLINE TENDER COST,EMD AND OTHER DOCUMENTS AS PER DTCN","6,000",Nil,Nil,No,CONSTRUCTION OF GPLF-CUM-MARKET COMPLEX BUILDING AT BICHITRAPUR GP FOR THE YEAR 2025-26,CONSTRUCTION OF GPLF-CUM-MARKET COMPLEX BUILDING AT BICHITRAPUR GP FOR THE YEAR 2025-26,Please refer Tender documents. ,NA ,"22,69,155",Civil Works - Buildings,NA ,Tender,90.0,180.0,JAJPUR,755001.0,NA ,NA ,NA ,"PANCHYAT SAMITI,JAJPUR",No ,No,"30,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,BDO,Internal,"AEE,BFO",Hemanta Kumar Mohanta,25-Oct-2025 05:05 PM,finsummary_544929.pdf (507.18 KB),BDO,Internal,"AEE,BFO",Hemanta Kumar Mohanta,25-Oct-2025 04:11 PM,techsummary_544929.pdf (507.18 KB),1,2995599,ANUSUYA SAHOO,10-Jul-2025 08:29 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||JAJPUR Block,2025_PRJAJ_114823_10,Tender Online 01 JJB of 2025-26,CONSTRUCTION OF GPLF-CUM-MARKET COMPLEX BUILDING AT BICHITRAPUR GP FOR THE YEAR 2025-26,1.0,2995969.0,PANKAJ KUMAR SAHOO,INR,"1,929,008.64",25-Oct-2025,"INR 1,929,008.64",180.0,Hemanta Kumar Mohanta,25-Oct-2025 05:10 PM,Qualify.pdf (507.00 KB),award of contract,Finance,15 Nos Bidders Participated,Hemanta Kumar Mohanta,02-Aug-2025 03:03 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,2,2996049,BANAJA TRIPATHY,11-Jul-2025 12:33 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2995729,DEEPAK KUMAR BARIK,11-Jul-2025 10:57 AM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2995720,JAGABANDHU JENA,10-Jul-2025 10:57 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2995466,KABITA PRUSTI,10-Jul-2025 09:02 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2995608,MAHESWAR SAHOO,10-Jul-2025 08:35 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2995701,M/S KRUSHNA CHANDRA BEHERA,10-Jul-2025 10:57 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2996189,M/S O E C,11-Jul-2025 01:51 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2995525,PADMINI SAHOO,10-Jul-2025 07:16 PM,Rejected-AOC,NOT QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2995969,PANKAJ KUMAR SAHOO,11-Jul-2025 11:42 AM,Accepted-AOC,QUALIFY,25-Oct-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
