S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2511734.0,KALU CHARAN MALIK,INR,"2,939,780",Finance,The tender documents of all bidders as above under process.,Amiya Kumar Mishra,16-Jul-2024 11:55 AM,,BOQ Comparative Chart,Er. S R Parida SE,Internal,,Satya Ranjan Parida,13-Oct-2025 12:43 PM,finsummary_502203.pdf (747.40 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,2024_EICCL_103375_3,S.E.-BNJ-RandB-01/2024-25,Construction of Check Dam on Minor Bridge at 37/650 Km of Bhanjanagar -Tilisingi -Tarasingi - Dasapalla Road (SH-37).,Er. S R Parida SE,Internal,,Satya Ranjan Parida,13-Oct-2025 12:36 PM,techsummary_502203.pdf (747.40 KB),13-Oct-2025,"INR 2,939,780",120.0,Satya Ranjan Parida,13-Oct-2025 12:51 PM,1_3aoc.pdf (1475.00 KB),1,2511973,ABHIMANYU RAUTA,11-Jul-2024 01:20 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender Cost, EMD, Contractor RC, GST, PAN, Affidavits, other document as DTCN",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,S.E.-BNJ-RandB-01/2024-25,2024_EICCL_103375_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"34,600",Yes,fixed,,Nil,Nil,Construction of Check Dam on Minor Bridge at 37/650 Km of Bhanjanagar -Tilisingi -Tarasingi - Dasapalla Road (SH-37).,Road Work,Please refer Tender documents. ,NA ,"34,58,158",Civil Works - Others,NA ,Tender,90.0,120.0,At Gayaganda,761131.0,NA ,NA ,NA ,"O/o S.E., Bhanjanagar (RandB) Division",No ,No,29-Jun-2024 12:00 PM,15-Jul-2024 11:00 AM,29-Jun-2024 12:00 PM,12-Jul-2024 05:00 PM,29-Jun-2024 12:00 PM ,10-Jul-2024 12:00 PM ,29-Jun-2024 12:00 PM,12-Jul-2024 05:00 PM,Superintending Engineer,"O/o S.E., Bhanjanagar (RandB) Division","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2512608,AMARNATH PATI,12-Jul-2024 02:51 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2512052,Amita Samantara,11-Jul-2024 03:00 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2512496,Aurabinda Parida,12-Jul-2024 12:13 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2512635,CHANDANA KUMARI SAHU,12-Jul-2024 04:08 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2511098,GOUTAM PRADHAN,10-Jul-2024 12:45 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2511025,JAYARAM GOUDA,10-Jul-2024 12:09 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2511734,KALU CHARAN MALIK,11-Jul-2024 08:35 AM,Accepted-AOC,After transparent lottery system SRI KALU CHARAN MALIK got successful 1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2511243,KARPANA SAGAR PATRO,10-Jul-2024 01:56 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2511797,Lakshmi Behera,11-Jul-2024 12:00 PM,Rejected-AOC,1st lowest tenderer.,13-Oct-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
