Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Circle Officer,"CENTRAL CIRCLE RURAL WORK, BHUBANESWAR",1.0,ICICI BANK,25-Apr-2025 06:30 PM,16-May-2025 11:00 AM,25-Apr-2025 06:30 PM,15-May-2025 05:00 PM,25-Apr-2025 06:30 PM ,01-May-2025 05:30 PM ,25-Apr-2025 06:30 PM,15-May-2025 05:00 PM,03-Jul-2025 05:00 PM,Construction of 200 bedded Girls Hostel building at Nimapara Autonomous College for the year 2024-25,Construction of 200 bedded Girls Hostel building at Nimapara Autonomous College for the year 2024-25,NA ,NA ,"6,71,46,875",Civil Works - Buildings,NA ,Tender,90.0,540.0,Nimapara,752069.0,NA ,NA ,NA ,"CENTRAL CIRCLE RURAL WORK, BHUBANESWAR",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate","10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR,Tender-Online-C.C-06 OF 2025,2025_CERWI_112829_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date Corrigendum,Date,,"6,71,469",Yes,percentage,1.0%,Nil,Nil,AOC,Chief Construction Engineer,Internal,AdditionalChiefEngineerRWDivisionBhubaneswarSrDAORWDivisionNimaparaPAtoC.C.ECentralRuralWorksCircleBBSR,Priyambada Swain,31-Oct-2025 05:19 PM,finsummary_537567.pdf (505.89 KB),CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_112829_1,Tender-Online-C.C-06 OF 2025,Construction of 200 bedded Girls Hostel building at Nimapara Autonomous College for the year 2024-25,Technical,17 nos bidder participated in the tender,Mausumi Mishra,16-May-2025 12:23 PM,,1.0,2903886.0,JAYANTA KUMAR PARIDA,INR,"57,081,558",1,2919104,ACP CONSTRUCTION,15-May-2025 03:46 PM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,31-Oct-2025,"INR 57,081,558",540.0,Priyambada Swain,31-Oct-2025 05:25 PM,200bededGirlsHostelAgmtDetails.pdf (860.00 KB),"Work order letter No.4848 dtd.22.10.25 and Agmt No.19 P1 of 2025-26 dtd.22.10.25 of Superintending Engineer, Rural Works Division, Nimapara",Finance,16 nos. bidder qualified in the tender,Mausumi Mishra,03-Jul-2025 06:48 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,AdditionalChiefEngineerRWDivisionBhubaneswar SrDAORWDivisionNimapara PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,30-Jun-2025 07:14 PM,03-Jul-2025 05:00 PM,techsummary_537567.pdf (487.13 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,,,,2.0,Other Corrigendum,Other,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2903735,ARUPANAND BISWAL,02-May-2025 12:31 PM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2918507,BIJAY KETAN BHATTA,15-May-2025 10:54 AM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2918101,BISWOJIT PANDA,15-May-2025 02:57 PM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2903886,JAYANTA KUMAR PARIDA,02-May-2025 04:22 PM,Accepted-AOC,Accepted,31-Oct-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2903249,M/s Sai Construction,01-May-2025 03:10 PM,Rejected-Technical,As per Clause No. 1(i) and Clause No. 8 of Eligibility Criteria of ITB of the DTCN (Insufficient Bid capacity and Work in hand not furnished),30-Jun-2025 07:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2902552,M/S SHUBAN CONSTRUCTIONS,30-Apr-2025 05:09 PM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2898967,Pramod Kumar Nayak,30-Apr-2025 06:09 PM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2903598,RANJAN KUMAR SWAIN,02-May-2025 10:59 AM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2901702,ROUTRAY DEVELOPER,15-May-2025 02:02 PM,Rejected-Finance,Other than L1 and L2,31-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,AOC
