S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"11,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",1.0,1st Corrigendum.,Technical Bid,,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",Construction of Water and Light Symphony for Integrated Master Plan of Hirakud Reservoir (Phase-I),Construction of Water and Light Symphony for Integrated Master Plan of Hirakud Reservoir (Phase-I).,AS PER DTCN. ,NA ,"10,40,48,926",Civil Works - Others,NA ,Tender,90.0,180.0,Hirakud,768016.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.36/OCCL/2025-26(on-line),2025_OCCL_117047_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,41,000",Yes,fixed,,Nil,Nil,19-Aug-2025 03:30 PM,10-Sep-2025 03:30 PM,19-Aug-2025 03:30 PM,09-Sep-2025 05:30 PM,19-Aug-2025 03:30 PM ,26-Aug-2025 05:30 PM ,19-Aug-2025 03:30 PM,09-Sep-2025 05:30 PM,23-Sep-2025 03:30 PM,AOC,Finance,Opened Successfully.,Pratap Chandra Chaudhury,23-Sep-2025 03:39 PM,,BOQ Comparative Chart,Technical,Opened Successfully.,Pratap Chandra Chaudhury,10-Sep-2025 03:49 PM,,1,3072329,AB INFRAPROJECTS PVT LTD,09-Sep-2025 05:25 PM,Rejected-Technical,Non- Responsive.,22-Sep-2025 09:27 PM,03-Oct-2025,"INR 104,048,926.45",180.0,Pratap Chandra Chaudhury,03-Oct-2025 05:31 PM,AOC_Light_Symphony.pdf (1162.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,03-Oct-2025 05:06 PM,finsummary_549871.pdf (1162.08 KB),MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,22-Sep-2025 09:27 PM,23-Sep-2025 03:30 PM,techsummary_549871.pdf (667.19 KB),ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_117047_1,E-procurement Notice No.36/OCCL/2025-26(on-line),Construction of Water and Light Symphony for Integrated Master Plan of Hirakud Reservoir (Phase-I),1.0,3043598.0,Gurumaharaj Engicon Private Limited,INR,"93,654,439",AOC
2.0,ICICI NEFT/RTGS,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,3043598,Gurumaharaj Engicon Private Limited,09-Sep-2025 05:12 PM,Accepted-AOC,L1 BIDDER.,03-Oct-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,3063625,SUSANTA KUMAR BADHAI,09-Sep-2025 02:01 PM,Rejected-Finance,L2 BIDDER.,03-Oct-2025 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
