S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
1,3025634,AAKAR ASSOCIATES,06-Aug-2025 02:34 PM,Accepted-AOC,L1 in transparent lottery system,18-Oct-2025 05:28 PM,Finance,Tender Opening summary,Janak Kumar Balabantaray,18-Oct-2025 05:15 PM,finance_547642.pdf,BOQ Comparative Chart,ER JANAK KUMAR BALABANTARAY SE,Internal,SRI SANDEEP TIWARY DAO ER. DEEPAK KUMAR PRADHAN AE (ESTIMATOR),Janak Kumar Balabantaray,18-Oct-2025 05:22 PM,finsummary_547642.pdf (1093.43 KB),18-Oct-2025,"INR 2,311,523.91",90.0,Janak Kumar Balabantaray,18-Oct-2025 05:28 PM,2267.pdf (1084.00 KB),ER JANAK KUMAR BALABANTARAY SE,Internal,SRI SANDEEP TIWARY DAO ER. DEEPAK KUMAR PRADHAN AE (ESTIMATOR),Janak Kumar Balabantaray,18-Oct-2025 05:19 PM,techsummary_547642.pdf (1093.43 KB),Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Malkangiri,2025_RWSS_116178_4,RWSS_MKG_ONLINE_02/2025-26,"Supply, installation, testing and commissioning of 8 Nos. of Solar energy based PWS with 5000 litter capacity HDPE storage tank with a staging height of 3 mts including 5 years O and M at Schools and AWC of Korukonda Block in Malkangiri District.",1.0,3025634.0,AAKAR ASSOCIATES,INR,"2,311,523.91",AOC,"27,191",Yes,percentage,1.0%,Nil,Nil,EE RWSS Malkangiri,"AT MV 02, NEAR FIRE STATION, MALKANGIRI",Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Malkangiri,RWSS_MKG_ONLINE_02/2025-26,2025_RWSS_116178_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"Supply, installation, testing and commissioning of 8 Nos. of Solar energy based PWS with 5000 litter capacity HDPE storage tank with a staging height of 3 mts including 5 years O and M at Schools and AWC of Korukonda Block in Malkangiri District.","Supply, installation, testing and commissioning of 8 Nos. of Solar energy based PWS with 5000 litter capacity HDPE storage tank with a staging height of 3 mts including 5 years O and M at Schools and AWC of Korukonda Block in Malkangiri District.",Please refer Tender documents. ,NA ,"27,19,120",Civil Works - Water Works,NA ,Tender,120.0,90.0,EE RWSS Malkangiri,764048.0,NA ,NA ,NA ,EE RWSS Malkangiri,No ,No,1.0,ICICI BANK,28-Jul-2025 09:00 AM,07-Aug-2025 11:00 AM,28-Jul-2025 09:00 AM,06-Aug-2025 05:00 PM,28-Jul-2025 09:00 AM ,04-Aug-2025 05:00 PM ,28-Jul-2025 09:00 AM,06-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, GSTIN, PAN, EXPERIENCE, FINANCIAL TURN OVER, T AND P ETC.",AOC
2,3021959,AMIT KUMAR AGRAWAL,04-Aug-2025 09:53 AM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,AOC
3,3024323,DILLIP KUMAR BEHERA,05-Aug-2025 01:02 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,3024553,Greenco Systems Private Limited,05-Aug-2025 01:35 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,3025002,JOY SOLAR PVT LTD,06-Aug-2025 03:51 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,3024951,Kailash Kumar Agrawal,06-Aug-2025 02:20 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,3025921,MAA ENTERPRISES,06-Aug-2025 04:36 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,3024960,M/S SOLAMIO AGRO INDIA LLP,06-Aug-2025 01:49 PM,Rejected-Technical,Non submission of EMD,18-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,3025071,PINKI AGRAWAL,06-Aug-2025 12:05 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,3025543,PRADEEP SWARNAKAR,06-Aug-2025 12:26 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
11,3025093,RINESH KUMAR AGRAWAL,06-Aug-2025 12:42 PM,Rejected-AOC,L2 in transparent lottery system,18-Oct-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
