Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
07-Jul-2025 05:30 PM,22-Jul-2025 11:00 AM,07-Jul-2025 05:30 PM,21-Jul-2025 05:00 PM,NA ,NA ,07-Jul-2025 05:30 PM,21-Jul-2025 05:00 PM,04-Aug-2025 12:00 PM,"2,27,000",Yes,fixed,,Nil,Nil,Improvement of Ramashyampur Bishnupur road from 0/000 km to 2/127 km in the District of Cuttack under State Plan for the year 2025-26,Improvement of Ramashyampur Bishnupur road from 0/000 km to 2/127 km in the District of Cuttack under State Plan for the year 2025-26,Please refer Tender documents ,NA ,"2,26,83,728",Civil Works - Roads,NA ,Tender,90.0,180.0,Choudwar,754025.0,NA ,NA ,NA ,CCE Dhenkanal R and B Circle Dhenkanal,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, EMD, PAN, Valid RC",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,CCE DKL R and B/04-2025-26,2025_EICCL_115200_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,CCE Dhenkanal R and B Circle Dhenkanal,CCE Dhenkanal R and B Circle Dhenkanal,AOC,CCE Dhenkanal Circle,Internal,SE DAO Estimator of Division PA to CCE Estimator of Circle,Purna Chandra Dalai,28-Oct-2025 07:13 PM,finsummary_545287.pdf (158.05 KB),Technical,Opened,Purna Chandra Dalai,22-Jul-2025 01:11 PM,technical_545287.pdf,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,2025_EICCL_115200_1,CCE DKL R and B/04-2025-26,Improvement of Ramashyampur Bishnupur road from 0/000 km to 2/127 km in the District of Cuttack under State Plan for the year 2025-26,1.0,3002565.0,Sambit Bisoi,INR,"19,283,437",28-Oct-2025,"INR 22,683,728.09",180.0,Purna Chandra Dalai,28-Oct-2025 07:19 PM,Ramshyampur_Bishnupur.pdf (3070.00 KB),Agreement on dt. 17.10.2025,1,3006667,AJIT SAMAL,21-Jul-2025 12:58 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,Finance,Opened,Purna Chandra Dalai,04-Aug-2025 08:33 PM,finance_545287.pdf,BOQ Comparative Chart,CCE Dhenkanal Circle,Internal,SE DAo Estimator of Division PA to CCE Estimator of Circle,Purna Chandra Dalai,02-Aug-2025 04:12 PM,04-Aug-2025 12:00 PM,techsummary_545287.pdf (1949.88 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3000423,AMBIKA PRASAD SINGH,15-Jul-2025 11:19 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3004178,ANIL KUMAR SATAPATHY,19-Jul-2025 03:19 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3005115,DILIP KUMAR BARAL,20-Jul-2025 02:30 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3003956,HARI PRASANNA KAR,19-Jul-2025 12:46 PM,Rejected-Technical,Disqualified as per DTCN clause No 112 C,02-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3007332,JRC Infra,21-Jul-2025 04:14 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2997063,Kamal Lochan Das,12-Jul-2025 02:26 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3003414,OM MAA CONSTRUCTION,21-Jul-2025 12:56 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3005957,PRABHAT KUMAR SAHU,21-Jul-2025 01:08 AM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3006092,PRAGYAN PARAMITA PARIDA,21-Jul-2025 02:19 PM,Rejected-AOC,Disqualify in transparent lottery,28-Oct-2025 07:19 PM,,,,,,,,,,,,,,AOC
