Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"10,000",0.0,Nil,Nil,No,"58,300",Yes,fixed,,Nil,Nil,08-Jul-2025 11:00 AM,23-Jul-2025 11:30 AM,08-Jul-2025 11:00 AM,22-Jul-2025 05:00 PM,08-Jul-2025 11:00 AM ,22-Jul-2025 02:00 PM ,08-Jul-2025 11:00 AM,22-Jul-2025 05:00 PM,20-Aug-2025 11:20 AM,1.0,Fee/PreQual/Technical,.pdf,registration certificate gst pan schedule aef and all other documenta as per dtcn,Construciton of New Administrative Building for Brahmanjharilo college at Baranga Cuttack,Construciton of New Administrative Building for Brahmanjharilo college at Baranga Cuttack,NA ,NA ,"58,27,206",Miscellaneous Works,NA ,Tender,90.0,30.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, CUTTACK",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,04 OF 25-26,2025_CERWI_115169_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION NO.II, CUTTACK",AOC,SE,Internal,EE AND DAO,Rasmita Biswal,16-Sep-2025 11:06 AM,finsummary_545232.pdf (109.17 KB),Technical,Summary for tender ID 2025_CERWI_115169_1,Chandini Suman Sahoo,23-Jul-2025 11:52 AM,,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,2025_CERWI_115169_1,04 OF 25-26,Construciton of New Administrative Building for Brahmanjharilo college at Baranga Cuttack,1.0,3003550.0,SAMBHAB SAMANTRAY,INR,"4,953,708",13-Oct-2025,"INR 4,953,708",30.0,Monalisa Mahunta,13-Oct-2025 04:04 PM,brahmajharilo.pdf (449.00 KB),Agreement drawn.,1,3008384,AKSHAT CONSTRUCTION,22-Jul-2025 12:46 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,Finance,summary,Chandini Suman Sahoo,20-Aug-2025 01:37 PM,finance_545232.pdf,BOQ Comparative Chart,SE,Internal,EE AND DAO,Rasmita Biswal,20-Aug-2025 11:01 AM,20-Aug-2025 11:20 AM,techsummary_545232.pdf (93.08 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery and equipment as per Annexure 1 of schedule C MOU as per schedule G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3008857,DEEPAK KUMAR BHOI(S.C.),22-Jul-2025 04:21 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000417,HARAPRIYA PRUSTY,18-Jul-2025 03:31 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3008187,M/S DURGAMADHAB CONSTRUCTION AND INTERIOR,22-Jul-2025 11:57 AM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3008851,"M/S JENA AGENCY, PROP-BIJAY KUMAR JENA",22-Jul-2025 04:04 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3008364,PRAHALLAD BEHERA,22-Jul-2025 12:38 PM,Rejected-Technical,"As per clause 3.2 (k) of the DTCN, the bidder has not furnished the required Electrical Licence copy of the said contractor in Schedule-G",20-Aug-2025 11:01 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3007481,PRASANNA PARIDA,21-Jul-2025 05:44 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3003550,SAMBHAB SAMANTRAY,18-Jul-2025 08:01 PM,Accepted-AOC,"After open of Lottery, the bidder is qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3008900,SOUMYA SHREE DAS,22-Jul-2025 04:39 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3008467,SOVAN MOHAPATRA,22-Jul-2025 02:27 PM,Rejected-AOC,"After open of Lottery, the bidder is dis-qualified as per rule of lottery system.",13-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
