Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Bid cost, EMD, Valid RC, GSTN, PAN, NRC, Affidavit and any other documents as per DTCN","CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",SEMIDBLS-03/2025- 26,2025_CEMIB_117151_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"25,200",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"Superintending Engineer,M.I Division, Balasore",Office of the Superintending Engineer Minor Irrigation Division Balasore Near Fandi Chhaka Balasore 756001,22-Aug-2025 10:00 AM,09-Sep-2025 11:00 AM,22-Aug-2025 10:00 AM,08-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 10:00 AM,08-Sep-2025 05:00 PM,Repair to Gohirakhal MIP (D/W) in Jaleswar Block of Balasore District under Critical grant for the year 2025-26,Repair to Gohirakhal MIP (D/W) in Jaleswar Block of Balasore District under Critical grant for the year 2025-26,Please refer Tender documents. ,NA ,"25,17,180",Civil Works - Others,NA ,Tender,90.0,120.0,Jaleswar Block,756032.0,NA ,NA ,NA ,Office of the Superintending Engineer Minor Irriga,No ,No,AOC,1,3068014,CHINMAY MOHAPATRA,08-Sep-2025 08:03 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,30-Oct-2025,"INR 2,139,855",120.0,ELEENA MISHRA,30-Oct-2025 01:04 PM,AOCGoutamchdhal.pdf (214.00 KB),"As per the result of transparent lottery, the lowest bidder being 14.99%less than the estimated cost put to tender, Goutam Chandra Dhal contractor is declared as winner",Superintending Engineer,Internal,"The following persons of this office will act as embers of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra,A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,30-Oct-2025 12:52 PM,techsummary_550104.pdf (45.92 KB),"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Balasore",2025_CEMIB_117151_1,SEMIDBLS-03/2025- 26,Repair to Gohirakhal MIP (D/W) in Jaleswar Block of Balasore District under Critical grant for the year 2025-26,Superintending Engineer,Internal,"The following persons of this office will act as members of tender committee of this division Smt Rama Dutta, D.A.O. as Member, Er Eleena Mishra, A.E (Estimator)as Member. Er Saraswati Hembram, A.E.",ELEENA MISHRA,30-Oct-2025 01:00 PM,finsummary_550104.pdf (45.92 KB),Finance,"As per technical evaluation, 17 out of 18 bidders are found to be qualified",ELEENA MISHRA,30-Oct-2025 12:46 PM,finance_550104.pdf,BOQ Comparative Chart,1.0,3067835.0,GOUTAM CHANDRA DHAL,INR,"2,139,855",AOC
,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3066841,CHITTARANJAN MALLIK,08-Sep-2025 07:11 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3064848,Geetarani Giri,05-Sep-2025 08:34 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3067835,GOUTAM CHANDRA DHAL,07-Sep-2025 08:17 PM,Accepted-AOC,You have been awarded the contract for this tender,30-Oct-2025 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3066918,JAYANARAYAN JENA,08-Sep-2025 07:01 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3069280,KRUSHNA CHANDRA SWAIN,08-Sep-2025 03:18 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3063524,LAXMI NARAYAN PATRA,06-Sep-2025 06:39 PM,Rejected-Technical,Not Qualified,30-Oct-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3068044,MANOJ KUMAR CHAND,08-Sep-2025 08:49 AM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3069706,MILAN KUMAR JENA,08-Sep-2025 04:56 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3060367,M/S SANGRAM KUMAR KARAN,01-Sep-2025 11:12 PM,Rejected-Finance,1st lowest tenderer is not Lottery winner,30-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
