Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
const of rcc drain from kanhu charan house towards kailash behera house in ward 13,const of rcc drain from kanhu charan house towards kailash behera house in ward 13,Please refer Tender documents. ,NA ,"3,54,809",Civil Works - Others,NA ,Tender,90.0,45.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,EO,Basudevpur Municipality,Municipal Bodies||Basudevpur Municipality,BSP_2025-26_07,2025_ORULB_114987_58,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,EMD exemption allowed,Fee,,1.0,ICICI BANK,05-Jul-2025 10:00 AM,14-Jul-2025 11:00 AM,05-Jul-2025 10:00 AM,11-Jul-2025 05:00 PM,NA ,NA ,05-Jul-2025 10:00 AM,11-Jul-2025 05:00 PM,"3,548",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,Nibedita Behera,Internal,"EO,ME,JE,ACCT",SUDHANSU MOHAN,13-Sep-2025 11:54 AM,techsummary_544858.pdf (8869.81 KB),Nibedita Behera,Internal,"EO,ME,JE,ACCT",SUDHANSU MOHAN,23-Oct-2025 10:58 AM,finsummary_544858.pdf (8869.81 KB),Finance,ok,SUDHANSU MOHAN,18-Jul-2025 02:18 PM,finance_544858.pdf,BOQ Comparative Chart,23-Oct-2025,"INR 355,916",45.0,SUDHANSU MOHAN,23-Oct-2025 12:14 PM,58.pdf (220.00 KB),ok,Municipal Bodies||Basudevpur Municipality,2025_ORULB_114987_58,BSP_2025-26_07,const of rcc drain from kanhu charan house towards kailash behera house in ward 13,1,2995461,Pradeep Kumar Das,INR,"418,675",1,2995679,BASANTA KUMAR SANTARA,10-Jul-2025 10:20 PM,Accepted-AOC,ok,23-Oct-2025 12:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2995490,Bishnu Mohan Palitta,INR,"439,609",2,2995490,Bishnu Mohan Palitta,10-Jul-2025 06:41 PM,Accepted-AOC,ok,23-Oct-2025 12:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2995679,BASANTA KUMAR SANTARA,INR,"355,916",3,2995461,Pradeep Kumar Das,10-Jul-2025 06:46 PM,Accepted-AOC,ok,23-Oct-2025 12:15 PM,AOC
