S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2910112.0,"M/S SHIVANI INFRASTRUCTURE AND SUPPLIERS, PROP. YASH AGRAWAL",INR,"2,597,906",Finance,Bid Opening summary uploaded as per bidding. The L1 bidder will be accepted after Technical evaluation.,BIPRA SOREN,01-Jul-2025 11:57 AM,finance_538591.pdf,BOQ Comparative Chart,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Dyllod Nag Jagannath Das,BIPRA SOREN,21-Aug-2025 01:09 PM,finsummary_538591.pdf (2850.44 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,2025_OLIC_113047_44,OLIC-BPT-02/2025-26 Dt.01.05.2025,INSTALLATION AND ENERGISATION OF REVIVAL CLIPS WORK FOR REGEDA-IV AND S.MALPADA-IV L.I. PROJECT UNDER KARLAMUNDA BLOCK IN KALAHANDI DISTRICT,Bipra Soren Santosh,Internal,Bipra Soren Santosh Kumar Kisan Krushna Ch. Sahu Dyllod Nag Jagannath Das,BIPRA SOREN,18-Jul-2025 12:47 PM,techsummary_538591.pdf (3067.81 KB),1,2918541,ASHOK KUMAR PADHAN,15-May-2025 08:36 PM,Rejected-AOC,L2 not Selected,15-Oct-2025 11:43 AM,25-Aug-2025,"INR 2,597,906",60.0,BIPRA SOREN,15-Oct-2025 11:43 AM,44REGEDAIVandSMALPADAIV.pdf (5083.00 KB),AWARD OF CONTRACT,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"TenderPaperCost,EMD,GSTChallan,GSTIN,PAN,Affidavit,CivilandHTLicenseJointVenture, Others as per DTCN","7,080",0.0,Nil,Nil,No,"Executive Engineer, L.I.Division, Bhawanipatna",At - Infront of GOVT. ITI Po - Bhawanipatna,INSTALLATION AND ENERGISATION OF REVIVAL CLIPS WORK FOR REGEDA-IV AND S.MALPADA-IV L.I. PROJECT UNDER KARLAMUNDA BLOCK IN KALAHANDI DISTRICT,INSTALLATION AND ENERGISATION OF REVIVAL CLIPS WORK FOR REGEDA-IV AND S.MALPADA-IV L.I. PROJECT UNDER KARLAMUNDA BLOCK IN KALAHANDI DISTRICT,Please refer to Tender Documents ,NA ,"30,56,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,60.0,KARLAMUNDA,766031.0,NA ,NA ,NA ,"O/O The Executive Engineer L.I.Division,Bhawanipat",No ,No,"30,560",Yes,fixed,,Nil,Nil,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,OLIC-BPT-02/2025-26 Dt.01.05.2025,2025_OLIC_113047_44,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,07-May-2025 11:00 AM,17-May-2025 11:00 AM,07-May-2025 11:00 AM,16-May-2025 05:00 PM,07-May-2025 11:00 AM ,14-May-2025 05:00 PM ,07-May-2025 11:00 AM,16-May-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2911202,BISHAL AGRAWALLA,11-May-2025 06:52 PM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2917499,Biswajit Mund,15-May-2025 08:08 PM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2919596,CHUDAMANI SAHU,15-May-2025 09:59 PM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2918158,KAPIL KUMAR JAIN,16-May-2025 12:42 PM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2917045,MANISHA AGRAWAL,14-May-2025 05:58 PM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2910112,"M/S SHIVANI INFRASTRUCTURE AND SUPPLIERS, PROP. YASH AGRAWAL",13-May-2025 09:23 PM,Accepted-AOC,L1 and Accepted,15-Oct-2025 11:43 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2920004,PARAMANANDA SAHU,16-May-2025 03:37 PM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2920324,RADHAKANTA SETH,16-May-2025 11:44 AM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2919349,RATHA MEHER,16-May-2025 01:56 AM,Rejected-Finance,L3 not Selected,21-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
