Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,EE/OLIC/BGH-03/2025-26,2025_OLIC_114610_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate, Affidavit, and other as per DTCN",1,ICICI BANK,23-Jun-2025 10:00 AM,04-Jul-2025 10:00 AM,23-Jun-2025 10:00 AM,03-Jul-2025 05:00 PM,23-Jun-2025 10:00 AM ,02-Jul-2025 05:00 PM ,23-Jun-2025 10:00 AM,03-Jul-2025 05:00 PM,"4,720",0.0,Nil,Nil,No,"7,660",Yes,percentage,1.0%,Nil,Nil,Execution of shifting and re-installation of Budhipali-I R.L. Project under Ambabhona Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"7,65,990",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",AOC,15-Oct-2025,"INR 651,168",60.0,Surya Narayan Tripathy,15-Oct-2025 12:03 PM,1108Dinabandhu.pdf (586.00 KB),Awarded bidder,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,15-Sep-2025 06:28 PM,finsummary_543654.pdf (470.63 KB),Finance,Opening Bid,SRIKANTA ROUT,04-Jul-2025 11:28 AM,finance_543654.pdf,BOQ Comparative Chart,1,2986472,DINABANDHU BHOSAGAR,03-Jul-2025 12:32 PM,Accepted-AOC,Awarded bidder,15-Oct-2025 12:03 PM,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2025_OLIC_114610_4,EE/OLIC/BGH-03/2025-26,Execution of shifting and re-installation of Budhipali-I R.L. Project under Ambabhona Block in Bargarh District,1.0,2986472.0,DINABANDHU BHOSAGAR,INR,"651,168",S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,09-Sep-2025 05:47 PM,techsummary_543654.pdf (470.62 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2986445,KHARABELA KHAMARI,02-Jul-2025 01:13 PM,Rejected-Technical,Unsuccessful bidder,09-Sep-2025 05:47 PM,,,,,,,,,,,,,,,,AOC
