Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Tender cost, PAN, GSTIN, Affidavit, RC, EMD","10,000",0.0,Nil,Nil,No,"SE CBT R and B Division, Choudwar","SE CBT R and B Division, Choudwar",1.0,ICICI BANK,Construction of 02 nos E type Residential quarter at Barachana in the district of Jajpur for the year 2024-25,Construction of 02 nos E type Residential quarter at Barachana in the district of Jajpur for the year 2024-25,Please refer Tender documents. ,NA ,"82,81,883",Civil Works - Buildings,NA ,Tender,90.0,180.0,Badachana,754296.0,NA ,NA ,NA ,"SE CBT R and B Division, Choudwar",No ,No,"83,000",Yes,fixed,,Nil,Nil,16-Apr-2025 03:00 PM,01-May-2025 11:00 AM,16-Apr-2025 03:00 PM,30-Apr-2025 05:00 PM,16-Apr-2025 03:00 PM ,23-Apr-2025 05:00 PM ,16-Apr-2025 03:00 PM,30-Apr-2025 05:00 PM,06-Jun-2025 09:00 AM,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,SE CBT (R and B)-01//2025-26,2025_EICCL_112546_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2902486,ABINASH MOHAPATRA,30-Apr-2025 04:49 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,10-Oct-2025,"INR 7,040,429",180.0,Ajit Kumar Ray,10-Oct-2025 06:49 PM,3.pdf (3203.00 KB),Date of commencement is 15.09.2025,A K Ray,Internal,S Mukherjee S Singh P Das,Ajit Kumar Ray,05-Jun-2025 06:58 PM,06-Jun-2025 09:00 AM,techsummary_536727.pdf (1468.41 KB),Finance,All are valid tender,Ajit Kumar Ray,10-Oct-2025 11:32 AM,finance_536727.pdf,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,2025_EICCL_112546_1,SE CBT (R and B)-01//2025-26,Construction of 02 nos E type Residential quarter at Barachana in the district of Jajpur for the year 2024-25,Technical,All are valid tender,Ajit Kumar Ray,05-Jun-2025 06:31 PM,technical_536727.pdf,A K Ray,Internal,I Priyadarshini S Singh S Mukherjee,Ajit Kumar Ray,10-Oct-2025 11:39 AM,finsummary_536727.pdf (7074.53 KB),1.0,2901265.0,YASHOBANTA NAYAK,INR,"7,040,429",AOC
,,.pdf,Other documents as per DTCN,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2894515,CHIRANJIB DAS,25-Apr-2025 12:27 PM,Rejected-Technical,Inadequate T and P,05-Jun-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2894736,CHITRASEN DAS,25-Apr-2025 02:20 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2902323,KUNAL UNDERTAKINGS LIMITED,30-Apr-2025 03:54 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2902220,NIHARA RANJAN PAUL,30-Apr-2025 03:14 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2894850,RAMAN RANJAN DAS,28-Apr-2025 09:08 AM,Rejected-Technical,Inadequate T and P,05-Jun-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2902158,SAGARIKA BISWAL,30-Apr-2025 02:57 PM,Rejected-Technical,Inadequate T and P,05-Jun-2025 06:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2902501,SANJAYA KUMAR ROUTRAY,30-Apr-2025 04:58 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2898924,SANJAY KUMAR MALLIK,28-Apr-2025 08:27 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2898922,SAURAV BISWAL,28-Apr-2025 08:45 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2901109,SOUDAMINI SETHY,29-Apr-2025 08:12 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2897969,SURESH CONSTRION PROP DIBYAJYOTI SHREECHANDAN BISWAL,28-Apr-2025 01:26 PM,Rejected-Finance,Not winning the lottery,10-Oct-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,2901265,YASHOBANTA NAYAK,29-Apr-2025 10:24 PM,Accepted-AOC,Winner of the transparent Lottery,10-Oct-2025 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
