Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ODISHA CONSTRUCTION CORPORATION LTD||CIVIL,2025_OCCL_113472_1,Bid identification No. OCCL-SCP/01/2025-26,01/GMBPD/OCCL/2025-26(on-line),1.0,2943099.0,M/S SHREE GANESH CONSTRUCTION,INR,"10,901,011",GENERAL MANAGER BARIPADA OF OCC LTD.,Internal,,MONAJ KUMAR BEHERA,12-Jun-2025 11:41 AM,13-Jun-2025 12:30 PM,techsummary_539598.pdf (1747.70 KB),30-Oct-2025,"INR 12,823,210.806",365.0,DIPAK KUMAR DEHURY,30-Oct-2025 12:26 PM,AOC_Nilagiri.pdf (1978.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,DIPAK KUMAR DEHURY,30-Oct-2025 12:19 PM,finsummary_539598.pdf (1977.99 KB),1,2943558,AB INFRAPROJECTS PVT LTD,30-May-2025 04:23 PM,Rejected-Finance,L3 BIDDER.,30-Oct-2025 12:19 PM,Technical,Opened Successfully.,MONAJ KUMAR BEHERA,31-May-2025 12:09 PM,,Finance,Opened Successfully.,MONAJ KUMAR BEHERA,13-Jun-2025 12:35 PM,,BOQ Comparative Chart,AOC,16-May-2025 03:30 PM,31-May-2025 12:00 PM,16-May-2025 03:30 PM,30-May-2025 05:30 PM,16-May-2025 03:30 PM ,22-May-2025 03:30 PM ,16-May-2025 03:30 PM,30-May-2025 05:30 PM,13-Jun-2025 12:30 PM,"GENERAL MANAGER, Baripada, OCCL, Bhubaneswar.","OCC Ltd. GENERAL MANAGER, Baripada, OCCL","1,29,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate,Valid CI OCC Ltd enlistment certificate and EMD (Mandatory) etc",1.0,ICICI BANK,ODISHA CONSTRUCTION CORPORATION LTD||CIVIL,Bid identification No. OCCL-SCP/01/2025-26,2025_OCCL_113472_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,01/GMBPD/OCCL/2025-26(on-line),"Extension of Sub Divisional Veterinary Hospital, Nilagiri in the District of Balasore.",As per DTCN. ,NA ,"1,28,23,211",Civil Works - Others,NA ,Tender,90.0,365.0,Nilagiri in the District of Balasore.,756040.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2942653,MAA BASANTI DURGA CONSTRUCTIONS,30-May-2025 12:23 PM,Rejected-Finance,L2 BIDDER.,30-Oct-2025 12:19 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2943099,M/S SHREE GANESH CONSTRUCTION,30-May-2025 02:31 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,30-Oct-2025 12:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2942481,Pramod Kumar Das,30-May-2025 01:35 PM,Rejected-Finance,L4 BIDDER.,30-Oct-2025 12:19 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2936478,SRI. DEEPAK KUMAR ROUTRAY,27-May-2025 11:18 PM,Rejected-Technical,Non-Responsive.,12-Jun-2025 11:41 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
