Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
Finance,k,Debaprasad Bal,15-Jul-2025 05:23 PM,finance_544421.pdf,BOQ Comparative Chart,03-Oct-2025,"INR 2,237,368",180.0,Debaprasad Bal,03-Oct-2025 01:25 PM,commite.pdf (56.00 KB),1.0,2995414.0,CHAKRADHAR DAS,INR,"2,237,368",Municipal Bodies||Anandapur Municipal Council,2025_ORULB_114847_12,AM-ANDP-01/2025-26,"Const. of AWC at BandirigadiaHarijan Sahi,WARD-03",1,2995414,CHAKRADHAR DAS,10-Jul-2025 05:38 PM,Accepted-AOC,k,03-Oct-2025 01:25 PM,cp,Internal,,Debaprasad Bal,22-Sep-2025 02:41 PM,techsummary_544421.pdf (56.14 KB),cp,Internal,,Debaprasad Bal,22-Sep-2025 02:45 PM,finsummary_544421.pdf (56.14 KB),AOC,01-Jul-2025 12:00 PM,14-Jul-2025 11:00 AM,01-Jul-2025 12:00 PM,11-Jul-2025 05:00 PM,NA ,NA ,01-Jul-2025 12:00 PM,11-Jul-2025 05:00 PM,"22,304",Yes,percentage,1.0%,Nil,Nil,"Const. of AWC at BandirigadiaHarijan Sahi,WARD-03","Const. of AWC at BandirigadiaHarijan Sahi,WARD-03",Please refer Tender documents. ,NA ,"22,30,414",Civil Works - Buildings,NA ,Tender,90.0,180.0,ANANDAPUR MUNICIPALITY,758021.0,NA ,NA ,NA ,ANANDAPUR MUNICIPALITY,No ,No,Municipal Bodies||Anandapur Municipal Council,AM-ANDP-01/2025-26,2025_ORULB_114847_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TECHNICAL,"6,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER,ANANDAPUR MUNICIPALITY,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,2,2995488,GYANA PRAKASH DALAI,10-Jul-2025 11:38 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,FINANCIAL,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,3,2992849,KAMALAKANTA BEHERA,08-Jul-2025 05:37 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2995726,KARTIKESWAR MOHANTY,10-Jul-2025 11:10 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2994539,MADHU SUDAN SAHOO,11-Jul-2025 12:30 AM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2996447,PRAKASH GHADEI,11-Jul-2025 03:55 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2994683,PRIYABRATA SAHOO,10-Jul-2025 01:26 AM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2994661,SANJIP KUMAR SINGH,09-Jul-2025 11:16 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2995537,SHIBATSA ROUL,10-Jul-2025 07:27 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2995434,SRIKANTA GHADEI,10-Jul-2025 05:57 PM,Rejected-Finance,k,22-Sep-2025 02:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
