S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3041196.0,DIBYA SUPPLIERS,INR,"1,225,514",OPEPA Bhubaneswar||Samagra Shiksha Khordha,2025_OPEPA_116258_25,01/CW/SS/2025-26,"Construction of One no. Additional Class Room At Govt. U.P. School Narayanipada , Bolagarh",1,3041196,DIBYA SUPPLIERS,19-Aug-2025 01:13 PM,Accepted-AOC,L1,15-Oct-2025 05:49 PM,15-Oct-2025,"INR 1,225,514",180.0,Sonamika Ray,15-Oct-2025 05:49 PM,WorkorderNarayanipada.pdf (535.00 KB),Finance,Admitted,DEBADATTA MOHANTY,20-Aug-2025 04:27 PM,,BOQ Comparative Chart,DPC SS Khordha,Internal,,Sonamika Ray,15-Oct-2025 05:48 PM,finsummary_547932.pdf (398.15 KB),DPC SS Khordha,Internal,,Sonamika Ray,15-Oct-2025 05:46 PM,techsummary_547932.pdf (398.15 KB),AOC,DPC SS Khordha,DPO Khordha,1.0,ICICI BANK,"6,000",Nil,Nil,No,"Construction of One no. Additional Class Room At Govt. U.P. School Narayanipada , Bolagarh","Construction of One no. Additional Class Room At Govt. U.P. School Narayanipada , Bolagarh",Please refer Tender documents. ,NA ,"14,41,612",Civil Works - Buildings,NA ,Tender,90.0,180.0,Khordha,752055.0,NA ,NA ,NA ,DPO Khordha,No ,No,OPEPA Bhubaneswar||Samagra Shiksha Khordha,01/CW/SS/2025-26,2025_OPEPA_116258_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,"14,416",Yes,percentage,1.0%,Nil,Nil,04-Aug-2025 03:00 PM,20-Aug-2025 11:00 AM,04-Aug-2025 03:00 PM,19-Aug-2025 05:00 PM,04-Aug-2025 03:00 PM ,16-Aug-2025 05:00 PM ,04-Aug-2025 03:00 PM,19-Aug-2025 05:00 PM,AOC
,,,,,,,,,2,3041620,JIBANANANDA DAS,19-Aug-2025 04:57 PM,Rejected-Technical,Rejected,15-Oct-2025 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3041567,JITENDRA KUMAR BISWAL,19-Aug-2025 04:41 PM,Rejected-Technical,Rejected,15-Oct-2025 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3041032,SHAIKH AMUSUDIN MAHAMMAD,19-Aug-2025 11:43 AM,Rejected-Technical,Rejected,15-Oct-2025 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3041222,SUBASINI BARAD,19-Aug-2025 01:23 PM,Rejected-Technical,Rejected,15-Oct-2025 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
