Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Construction of New Sub-Center Building at Alumeda under Sadar Block for the year 2024-25,Construction of New Sub-Center Building at Alumeda under Sadar Block for the year 2024-25,Please refer Tender documents. ,NA ,"40,91,781",Civil Works - Buildings,NA ,Tender,90.0,180.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the S.E., R.W. Division, Balasore",No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, PAN, GSTIN, Affidavit, No relation certificate and other as per DTCN",1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04/ SERW/BLS/ 2024-25,2024_CERWI_108467_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E., R.W. Division, Balasore","S.E., R.W. Division, Balasore","40,918",Yes,percentage,1.0%,Nil,Nil,18-Dec-2024 04:00 PM,30-Dec-2024 11:00 AM,18-Dec-2024 04:00 PM,27-Dec-2024 05:00 PM,18-Dec-2024 04:00 PM ,27-Dec-2024 01:00 PM ,18-Dec-2024 04:00 PM,27-Dec-2024 05:00 PM,AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,18-Oct-2025 01:12 PM,techsummary_520991.pdf (748.58 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,18-Oct-2025 01:15 PM,finsummary_520991.pdf (748.58 KB),Finance,document downloaded,Priyadarshini Behera,30-Dec-2024 05:07 PM,finance_520991.pdf,BOQ Comparative Chart,1,2713306,CHANDAN KUMAR DHAL,27-Dec-2024 01:50 PM,Rejected-AOC,Not Qualified,18-Oct-2025 01:19 PM,1.0,2710571.0,SUMAN SETHI,INR,"4,104,539",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2024_CERWI_108467_12,04/ SERW/BLS/ 2024-25,Construction of New Sub-Center Building at Alumeda under Sadar Block for the year 2024-25,18-Oct-2025,"INR 4,104,539",180.0,Soubhagya Kumar Das,18-Oct-2025 01:18 PM,AlumedaWO.pdf (749.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2706579,SATYAPRAKASH PRADHAN,22-Dec-2024 09:39 PM,Rejected-AOC,Not Qualified,18-Oct-2025 01:19 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2710571,SUMAN SETHI,25-Dec-2024 10:33 AM,Accepted-AOC,Qualified,18-Oct-2025 01:19 PM,,,,,,,,,,,,,,,,AOC
