S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3013789.0,TULASHI RAJAK,INR,"6,407,156",Technical,OPENING,Shiba Sankar Mohanta,05-Aug-2025 11:57 AM,technical_546153.pdf,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_115620_1,RD 02,Construction of Twin E type qtr building at Hatbadra PHC N under Kusumi block for the year 23-24,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,08-Oct-2025 12:17 PM,finsummary_546153.pdf (377.10 KB),sanjeet Kumar Naik,Internal,,Shiba Sankar Mohanta,05-Aug-2025 12:00 PM,07-Aug-2025 05:00 PM,techsummary_546153.pdf (474.02 KB),Finance,open,Sanjeet Kumar Naik,08-Oct-2025 12:14 PM,finance_546153.pdf,BOQ Comparative Chart,08-Oct-2025,"INR 6,407,156",270.0,Sanjeet Kumar Naik,08-Oct-2025 12:21 PM,4324.pdf (377.00 KB),1,3015294,Amit kumar sahu,28-Jul-2025 03:59 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 02,2025_CERWI_115620_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",17-Jul-2025 11:00 AM,29-Jul-2025 11:30 AM,17-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,17-Jul-2025 11:00 AM ,25-Jul-2025 05:00 PM ,17-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,07-Aug-2025 05:00 PM,1.0,ICICI BANK,Construction of Twin E type qtr building at Hatbadra PHC N under Kusumi block for the year 23-24,Construction of Twin E type qtr building at Hatbadra PHC N under Kusumi block for the year 23-24,NA ,NA ,"75,36,944",Civil Works - Buildings,NA ,Tender,90.0,270.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,1.0,Fee/PreQual/Technical,.pdf,PAN Affidavit GSTIN electrical license lease agreement etc as per DTCN,"75,370",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3011314,JAGABANDHU PATRA,24-Jul-2025 09:09 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3013757,joyram beshra,27-Jul-2025 06:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Aug-2025 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3015504,KAMALA KANTA NAYAK,28-Jul-2025 04:55 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3015422,SABYASACHI GIRI,28-Jul-2025 04:29 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3015157,SARBESWAR MOHANTA,28-Jul-2025 02:59 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3010220,SARBSHREE ENGINEERING AND CONSTRUCTIONS PVT LTD,23-Jul-2025 05:07 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3012144,SOUMYARANJAN GHIBELA,28-Jul-2025 11:43 AM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3015271,SUJITA BEHERA,28-Jul-2025 03:43 PM,Rejected-AOC,Lottery,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3013789,TULASHI RAJAK,27-Jul-2025 06:35 PM,Accepted-AOC,Lottery winner,08-Oct-2025 12:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
