Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,11 (Eleven) out of 11 (Eleven) Bidders are Qualified for Technical Evaluation.,Harekrishna Panda,07-Aug-2025 07:22 PM,finance_547717.pdf,BOQ Comparative Chart,1.0,3023160.0,UNITED POWER,INR,"2,307,706",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-Division-Ghatagoan,2025_EICCL_116208_1,SE GTN R AND B 04-2025-26,Improvement such as widening and strengthening to Ramachandrapur-Harichandanpur Road ODR from Ch.0.000 km to 13.352 Km under NABARD Assistance in the district of Keonjhar Such as shifting of Electrical LT and HT Line,"Er. Harekrishna Panda, Superintending Engineer",Internal,"Er. Harekrishna Panda, Superintending Engineer, Sri. Sadhan Garai, D.A.O-1, Er. Somanath Pradhan, A.E.E, Estimator",Harekrishna Panda,11-Sep-2025 06:36 PM,finsummary_547717.pdf (382.34 KB),"Er. Harekrishna Panda, Superintending Engineer",Internal,"Er. Harekrishna Panda, Superintending Engineer, Sri. Sadhan Garai, D.A.O-1, Er. Somanath Pradhan, A.E.E, Estimator",Harekrishna Panda,11-Sep-2025 06:27 PM,techsummary_547717.pdf (383.08 KB),1,3022881,JHADESWAR ELECTRICALS AND ERECTORS,04-Aug-2025 12:00 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,27-Oct-2025,"INR 2,307,706",60.0,Harekrishna Panda,27-Oct-2025 11:29 AM,7630.pdf (551.00 KB),"Among the 11 (Eleven) Nos. of Participant in transparent lottery, M/S United Power, Won the Lottery",AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"ONLINE PROOF OF TENDER PAPER COST, EMD, GSTIN, PAN, CONTRACTOR REGISTRATION CERTIFICATE, AFFIDAVIT",Improvement such as widening and strengthening to Ramachandrapur-Harichandanpur Road ODR from Ch.0.000 km to 13.352 Km under NABARD Assistance in the district of Keonjhar Such as shifting of Electrical LT and HT Line,E.I. Work,Please refer Tender documents. ,NA ,"27,14,629",Electrical Works,NA ,Tender,90.0,60.0,Ghatagaon,758027.0,NA ,NA ,NA ,O/o the S.E. Ghatagaon R and B Division,No ,No,Superintending Engineer Ghatagaon R and B Division,"O/o the S.E. Ghatagaon R and B Division, Ghatagaon","27,146",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-Division-Ghatagoan,SE GTN R AND B 04-2025-26,2025_EICCL_116208_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,29-Jul-2025 11:30 AM,05-Aug-2025 11:00 AM,29-Jul-2025 11:30 AM,04-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 11:30 AM,04-Aug-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3022421,MAA TARINI ENGINEERING,03-Aug-2025 06:55 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,.pdf,OTHER DOCUMENT AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3021839,M.G.ENGINEERING,02-Aug-2025 06:58 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3023130,MS SAI ENGINEERING & COMPANY,04-Aug-2025 04:14 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3020529,M/S SOUDAMINI ELECTRICAL WORKS,01-Aug-2025 03:05 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3021967,M/s S.R. Electricals,02-Aug-2025 10:02 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3022842,NARAYAN MAHANTA,04-Aug-2025 02:11 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3019294,SAI ENGINEERING,01-Aug-2025 08:47 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3023104,SITARAM INFRA AND ENERGY PVT LTD,04-Aug-2025 02:08 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3018722,SUNIL KUMAR MALLICK,30-Jul-2025 09:00 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
