Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"EMD,PAN,GST and other documents as per DTCN",Department of Social Security and Empowerment of Persons with Disabilities,9757/SSEPD Dated 26.08.2025,2025_SSEPD_117376_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,0.0,Nil,Nil,No,"Director,SSEPD",Bhubaneswar,1.0,Corrigendum,Other,,1.0,ICICI BANK,26-Aug-2025 01:00 PM,11-Sep-2025 11:00 AM,26-Aug-2025 01:00 PM,10-Sep-2025 05:00 PM,NA ,NA ,26-Aug-2025 01:00 PM,10-Sep-2025 05:00 PM,25-Sep-2025 01:00 PM,E-Tender for Selection of Outsourcing Manpower Service Provider Agency for engagement of Outsourcing personnel for undertaking various Technical and Administrative Assignments,E-Tender for Selection of Outsourcing Manpower Service Provider Agency for engagement of Outsourcing personnel for undertaking various Technical and Administrative Assignments,Please refer tender documents ,NA ,,Human Resources Supply,NA ,Tender,90.0,365.0,Bhubaneswar,751001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"2,63,088",Yes,fixed,,Nil,Nil,AOC,1,3069925,ALLIN SECURITY AND INTELLIGENCE SERVICE,08-Sep-2025 06:35 PM,Rejected-Finance,Not qualified as per scoring.,09-Oct-2025 11:32 AM,09-Oct-2025,"INR 54,810",730.0,Sonia Behera,09-Oct-2025 11:55 AM,aoc.pdf (364.00 KB),L1 Bidder,Finance,Financial Bid Opened of 13 Bidders.,Sonia Behera,09-Oct-2025 11:12 AM,,BOQ Comparative Chart,Director,Internal,"FA-cum-Special Secretary, Additional Secretary, SSEPD Department",Sonia Behera,25-Sep-2025 10:57 AM,25-Sep-2025 01:00 PM,techsummary_550542.pdf (504.02 KB),Director,Internal,"FA-cum-Special Secretary, SSEPD and Joint Secretary, Law Department",Sonia Behera,09-Oct-2025 11:32 AM,finsummary_550542.pdf (1037.89 KB),Department of Social Security and Empowerment of Persons with Disabilities,2025_SSEPD_117376_1,9757/SSEPD Dated 26.08.2025,E-Tender for Selection of Outsourcing Manpower Service Provider Agency for engagement of Outsourcing personnel for undertaking various Technical and Administrative Assignments,Technical,13 bidders participated.,Deepak Routrai,11-Sep-2025 12:08 PM,,1.0,3072720.0,Shree Solutions & Services,INR,"54,810",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3071575,BB COMMUNICATION HUMAN RESOURCES AND DEVELOPMENT PRIVATE LIMITED,10-Sep-2025 04:56 PM,Rejected-Finance,Not qualified as per scoring.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3073843,Bhumisree Consultancy and Marketing Pvt. Ltd.,10-Sep-2025 03:25 PM,Rejected-Finance,Not qualified as per scoring.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3073775,Kaapro Management Solutions Pvt. Ltd.,10-Sep-2025 01:04 PM,Rejected-Finance,Not qualified as per scoring.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3074268,L&K Services Private Limited,10-Sep-2025 04:46 PM,Rejected-Finance,Quoted less than 5 percent of service charge. Hence rejected.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3066094,M/S E 1 SECURITY SERVICES PRIVATE LIMITED,10-Sep-2025 04:42 PM,Rejected-Finance,Quoted less than 5 percent of service charge. Hence rejected.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3073346,Neta Security Services Private limited,10-Sep-2025 10:43 AM,Rejected-Finance,Quoted less than 5 percent of service charge. Hence rejected.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3074283,NEWMARK INDUSTRIAL SECURITY AND SOLUTIONS PRIVATE LIMITED,10-Sep-2025 03:44 PM,Rejected-Finance,Quoted less than 5 percent of service charge. Hence rejected.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3072722,OM SARALA SECURITY SERVICES PVT.LTD,10-Sep-2025 01:58 PM,Rejected-Finance,Not qualified as per scoring.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3073435,PRATYUSH,10-Sep-2025 04:54 PM,Rejected-Finance,Quoted less than 5 percent of service charge. Hence rejected.,09-Oct-2025 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
