Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,ELEVEN BIDDERS PARTICIPATED FOR EVALUATION,Guru Prasad Mohanty,30-Oct-2025 04:22 PM,finance_546117.pdf,BOQ Comparative Chart,1.0,3018370.0,ASHUTOSH,INR,"1,817,330",Brahmapur Development Authority,2025_BDABH_115608_1,EM-BeDA-19-2025/26,Repair and Construction of New Boundary wall grill fixing of front side Boundary Wall with cow catcher and Approach Road at GanjamHaat Brahmapur Ganjam,ENGINEER MEMBER,Internal,AE EE,Guru Prasad Mohanty,30-Oct-2025 04:28 PM,finsummary_546117.pdf (5719.31 KB),ENGINEER MEMBER,Internal,AE EE,Guru Prasad Mohanty,30-Oct-2025 04:24 PM,techsummary_546117.pdf (5719.31 KB),30-Oct-2025,"INR 1,817,330",90.0,Guru Prasad Mohanty,30-Oct-2025 04:32 PM,WO.pdf (2903.00 KB),1,3018401,AKSHAY KUMAR SWAIN,30-Jul-2025 04:35 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,ENGINEER MEMBER,BeDA BRAHMAPUR,Repair and Construction of New Boundary wall grill fixing of front side Boundary Wall with cow catcher and Approach Road at GanjamHaat Brahmapur Ganjam,WORKS,Please refer Tender documents. ,NA ,"21,37,786",Civil Works - Others,NA ,Tender,90.0,90.0,BRAHMAPUR,760001.0,NA ,NA ,NA ,BRAHNAPUR,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GST PAN LICENSE REGN CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN,16-Jul-2025 10:00 AM,31-Jul-2025 11:00 AM,16-Jul-2025 10:00 AM,30-Jul-2025 05:30 PM,16-Jul-2025 10:00 AM ,25-Jul-2025 05:30 PM ,16-Jul-2025 10:00 AM,30-Jul-2025 05:30 PM,1.0,ICICI BANK,Brahmapur Development Authority,EM-BeDA-19-2025/26,2025_BDABH_115608_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"21,400",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3018370,ASHUTOSH,30-Jul-2025 04:47 PM,Accepted-AOC,L1,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3012658,Banita Bishoyi,26-Jul-2025 02:07 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3018170,BEENA BEHERA,30-Jul-2025 03:03 PM,Rejected-Technical,INVALID REGISTRATION,30-Oct-2025 04:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3007514,GANGADHAR SAMANTARA,21-Jul-2025 05:50 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3007754,MUNA SETHI,21-Jul-2025 08:51 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3014423,PRADEEP KUMAR CHOUDHURY,28-Jul-2025 11:24 AM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3009950,PRADIP MALIK,23-Jul-2025 03:23 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3011535,SANJEET KUMAR PADHY,25-Jul-2025 11:29 AM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3018166,SASMITA SABAT,30-Jul-2025 02:57 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,30-Oct-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
