Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Er.Soumya Ranjan Dwibedi,O/o the S E R and B Division Puri,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST, EMD, COST OF TENDER PAPER, AFFIDAVIT, ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED D",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 20 of 2025-26,2025_EICCL_116682_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"33,112",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,11-Aug-2025 05:00 PM,19-Aug-2025 11:00 AM,11-Aug-2025 05:00 PM,18-Aug-2025 05:00 PM,NA ,NA ,11-Aug-2025 05:00 PM,18-Aug-2025 05:00 PM,Reconstruction of Box Cell Culvert 1x6x2 on New Jagannath Sadak road at ch. 1/200 km in the District of Puri for the year 2025-26,Reconstruction of Box Cell Culvert 1x6x2 on New Jagannath Sadak road at ch. 1/200 km in the District of Puri for the year 2025-26,Please refer Tender documents. ,NA ,"33,11,161",Civil Works - Bridges,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,O/o the S E R and B Division Puri,No ,No,AOC,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Soumya Ranjan Dwibedi,29-Oct-2025 01:02 PM,finsummary_548954.pdf (1234.13 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2025_EICCL_116682_1,TCN No 20 of 2025-26,Reconstruction of Box Cell Culvert 1x6x2 on New Jagannath Sadak road at ch. 1/200 km in the District of Puri for the year 2025-26,1.0,3037574.0,SOVALAXMI SAHOO,INR,"2,814,818",Finance,Total 19 Nos bidder are participated in the online tender,Soumya Ranjan Dwibedi,19-Aug-2025 12:05 PM,,BOQ Comparative Chart,29-Oct-2025,"INR 2,814,818",180.0,Soumya Ranjan Dwibedi,29-Oct-2025 01:12 PM,AOC.pdf (1705.00 KB),The bidder won the transparency lottery among the qualified bidder so that the work has been awarded to him,1,3039496,BHAGIRATHI MANSINGH,17-Aug-2025 10:23 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,Er. Soumya Ranjan Dwibedi,Internal,Sri Abadhuta Prasad Das Smt Smita Pal,Smita Pal,09-Sep-2025 01:06 PM,techsummary_548954.pdf (921.64 KB),AOC
,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3039865,DEEPAK ENTERPRISES,18-Aug-2025 02:27 PM,Rejected-Technical,The bidder has not fulfilled the minimum eligibility criteria (i.e not submitted the required information in Schedule F) stipulated in Clause No-11 of approved DTCN,09-Sep-2025 01:06 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3040109,HITU PRADHAN,18-Aug-2025 02:15 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3034556,JAYASHREE BEHERA,13-Aug-2025 01:18 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3038896,KAHNU SWAIN,17-Aug-2025 01:09 AM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3040220,PRAKASH KUMAR PATASANI,18-Aug-2025 03:06 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3038738,PRATAP CHANDRA GHODEI,16-Aug-2025 06:20 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3039909,PRATAP MAHAPATRA,18-Aug-2025 12:45 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3040374,PRATIMA BADAJENA,18-Aug-2025 04:38 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3039388,RAJDEEP MOHANTY,17-Aug-2025 08:46 PM,Rejected-AOC,Rejected,29-Oct-2025 01:12 PM,,,,,,,AOC
