Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Finance,All are qualified,Rashmi Rekha Chattar,16-Oct-2025 12:27 PM,finance_550037.pdf,BOQ Comparative Chart,1.0,3059675.0,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",INR,"2,520,877","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_117118_6,"SE,MID,DGR /03 / 2025-26",Improvement to Right Main Canal of Tusula MIP in Barkote Block of Deogarh District under Critical Grant.,"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 05:10 PM,finsummary_550037.pdf (143.98 KB),"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 04:16 PM,techsummary_550037.pdf (257.72 KB),22-Oct-2025,"INR 2,520,877",120.0,Rashmi Rekha Chattar,22-Oct-2025 11:32 AM,badkudar.pdf (499.00 KB),1,3057861,ALOK KUMAR PRADHAN,01-Sep-2025 05:48 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,1.0,ICICI BANK,"S.E, M.I. Division, Deogarh","O/o S.E, M.I. Division, Deogarh",21-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,21-Aug-2025 10:00 AM ,02-Sep-2025 05:00 PM ,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,"29,660",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar","SE,MID,DGR /03 / 2025-26",2025_CEMIB_117118_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to Right Main Canal of Tusula MIP in Barkote Block of Deogarh District under Critical Grant.,Improvement to Right Main Canal of Tusula MIP in Barkote Block of Deogarh District under Critical Grant.,Please refer Tender documents. ,NA ,"29,65,389",Civil Works - Others,Imp to MIP ,Tender,90.0,120.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o S.E, M.I. Division, Deogarh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, PAN CARD, GSTIN, REGISTRATION CERTIFICATE AND OTHE DOCUMENT AS PER DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3061011,ALOK RANJAN PRADHAN,02-Sep-2025 01:10 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3051492,CHHEDILAL KATARUKA,27-Aug-2025 06:19 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3059392,DHIREN DHAL,01-Sep-2025 03:22 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3057804,Dipti Ranjan Prusty,31-Aug-2025 05:05 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3058689,DUSHMANTA KUMAR SAHU,01-Sep-2025 08:21 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3059914,DUSMANTA PRADHAN,01-Sep-2025 06:30 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3057572,Ganesh Chandra Minz,31-Aug-2025 01:18 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3057571,Gyanesh Rout,31-Aug-2025 01:36 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3061069,JITEN KUMAR MAHAPATRA,02-Sep-2025 01:33 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
