S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2984486.0,GOURISANKAR MISHRA,INR,"1,194,947",Finance,10 Bids are admitted and one bid of Korada Kasiviswanath is rejected,Soumya Kanta Bangolla,04-Aug-2025 06:04 PM,finance_543821.pdf,BOQ Comparative Chart,BDOchandrapurSoumyakantaBangolla,Internal,1BDOChandrapur2AEEChandrapur3SectionOfficerChandrapur4DusmantKisanJEChandrapur5DebasishGoudaJEChandrapur,Soumya Kanta Bangolla,31-Oct-2025 07:11 PM,finsummary_543821.pdf (628.04 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||CHANDRAPUR,2025_PZPRC_114692_3,2025_CHANDRAPUR-6,"Construction of ACR Building at Primary School,Belamguda UPS,Hanumantpur GP",BDOchandrapurSoumyakantaBangolla,Internal,1BDOChandrapur2AEEChandrapur3SectionOfficerChandrapur4DusmantKisanJEChandrapur5DebasishGoudaJEChandrapur,Soumya Kanta Bangolla,04-Aug-2025 06:27 PM,techsummary_543821.pdf (1443.45 KB),31-Oct-2025,"INR 1,194,947.043",120.0,Soumya Kanta Bangolla,31-Oct-2025 08:17 PM,BellamgudaUPS.pdf (548.00 KB),"Contract for Construction of ACR Building at Primary School,Belamguda UPS,Hanumantpur GP is allowed being L-1 Bidder",1,2982913,Balaram Panigrahi,29-Jun-2025 06:19 PM,Rejected-Finance,Being L3 decided through Lottery System,31-Oct-2025 07:11 PM,AOC,"6,000",Nil,Nil,Yes,23-Jun-2025 11:00 AM,11-Jul-2025 11:00 AM,23-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,NA ,NA ,23-Jun-2025 11:00 AM,10-Jul-2025 05:00 PM,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Rayagada||CHANDRAPUR,2025_CHANDRAPUR-6,2025_PZPRC_114692_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of ACR Building at Primary School,Belamguda UPS,Hanumantpur GP","Construction of ACR Building at Primary School,Belamguda UPS,Hanumantpur GP",As per DTCN ,NA ,"14,05,655",Civil Works - Buildings,NA ,Tender,120.0,120.0,Belamguda of Hanumantpur GP,765020.0,NA ,NA ,NA ,Office of the BDO Chandrapur,No ,No,BDO Chandrapur,Panchayat Samiti Chandrapur,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,RC,PAN,GST,AFFIDAVIT,EMD,PAPERCOST,CASTE CERTIFICATE etc",1.0,extension of bid date,Date,,"14,057",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2985914,BIJAYA JAGERANGA,01-Jul-2025 09:17 PM,Rejected-Finance,Lowest quoted amount,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ for the Additional Classroom in Chandrapur Block,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2985972,GEORGE KDAISKA,02-Jul-2025 01:41 PM,Rejected-Finance,Being L3 decided through Lottery System,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2984486,GOURISANKAR MISHRA,01-Jul-2025 07:19 PM,Accepted-AOC,being L-1 Bidder,31-Oct-2025 08:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2986377,JAGADISH PANDA,02-Jul-2025 03:49 PM,Rejected-Finance,Being L3 decided through Lottery System,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2983691,KORADA KASIVISWANATH,01-Jul-2025 11:41 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Uploaded registration certificate has been expired,04-Aug-2025 06:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2983561,KORADA KOMALI,30-Jun-2025 12:27 PM,Rejected-Finance,Being L3 decided through Lottery System,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2994897,MD SABIR SHEKH,10-Jul-2025 12:14 PM,Rejected-Finance,Being L3 decided through Lottery System,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2994987,PITAMBAR PAIK,10-Jul-2025 01:38 PM,Rejected-Finance,Lowest quoted amount,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2992931,PRIYARANJAN SWAIN,08-Jul-2025 06:33 PM,Rejected-Finance,Being L3 decided through Lottery System,31-Oct-2025 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
