Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
24-Oct-2025,"INR 21,146,039",300.0,Bikram Keshari Malla,24-Oct-2025 04:57 PM,RASOL_WO.pdf (78.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 22.10.2025,1.0,3043548.0,PRIYA RANJAN BISWAL,INR,"21,146,039",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_116602_20,09/OPHWC/2025-26,Constn. of 8 nos. F type Staff Qtrs. at Rasol Fire Station in Dhenkanal District,1,3044440,Debabrata Bhatta,22-Aug-2025 01:30 PM,Rejected-Finance,DUE TO L2 BIDDER,24-Oct-2025 04:54 PM,Technical,5 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,02-Sep-2025 04:24 PM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,24-Oct-2025 04:54 PM,finsummary_548802.pdf (560.03 KB),Finance,financial bid opened,MONALISHA PADHY,24-Sep-2025 11:04 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,23-Sep-2025 07:34 PM,24-Sep-2025 10:30 AM,techsummary_548802.pdf (365.44 KB),AOC,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,09/OPHWC/2025-26,2025_OSPHW_116602_20,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"2,48,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Constn. of 8 nos. F type Staff Qtrs. at Rasol Fire Station in Dhenkanal District,Building Work,Please refer Tender documents. ,NA ,"2,48,74,767",Civil Works - Buildings,NA ,Tender,90.0,300.0,Dhenkanal,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,08-Aug-2025 06:55 PM,25-Aug-2025 10:30 AM,08-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,NA ,NA ,08-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,24-Sep-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC
,,,,,,,,,,,,,,,,2,3043886,M/S RAJ SOHELI CONSTRUCTIONS,22-Aug-2025 01:44 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110 (k).,23-Sep-2025 07:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,AOC
,,,,,,,,,,,,,,,,3,3043548,PRIYA RANJAN BISWAL,22-Aug-2025 02:44 PM,Accepted-AOC,QUALIFIED BIDDER,24-Oct-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,,,,4,3044503,PRIYARANJAN SAHOO,22-Aug-2025 02:53 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,23-Sep-2025 07:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3044662,SUBRAT NAIK,22-Aug-2025 03:54 PM,Rejected-Finance,DUE TO L2 BIDDER,24-Oct-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
