Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,All are qualified,Rashmi Rekha Chattar,16-Oct-2025 12:18 PM,finance_550033.pdf,BOQ Comparative Chart,1.0,3059957.0,SMRUTI RANJAN KHANDAI,INR,"719,962","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_117118_4,"SE,MID,DGR /03 / 2025-26",Improvement to Bamparda MIP in Barkote Block of Deogarh District under Critical Grant.,"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 04:47 PM,finsummary_550033.pdf (129.46 KB),"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 04:26 PM,techsummary_550033.pdf (257.72 KB),1,3056770,ALOK KUMAR PRADHAN,01-Sep-2025 05:44 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,22-Oct-2025,"INR 719,962",120.0,Rashmi Rekha Chattar,22-Oct-2025 11:48 AM,bamparda.pdf (590.00 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, PAN CARD, GSTIN, REGISTRATION CERTIFICATE AND OTHE DOCUMENT AS PER DTCN","4,000",0.0,Nil,Nil,No,Improvement to Bamparda MIP in Barkote Block of Deogarh District under Critical Grant.,Improvement to Bamparda MIP in Barkote Block of Deogarh District under Critical Grant.,Please refer Tender documents. ,NA ,"8,46,915",Civil Works - Others,Imp to MIP ,Tender,90.0,120.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o S.E, M.I. Division, Deogarh",No ,No,"8,470",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar","SE,MID,DGR /03 / 2025-26",2025_CEMIB_117118_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,21-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,21-Aug-2025 10:00 AM ,02-Sep-2025 05:00 PM ,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,"S.E, M.I. Division, Deogarh","O/o S.E, M.I. Division, Deogarh",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3060380,BHESAJA KUMAR PATTA,02-Sep-2025 12:11 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3059460,DHIREN DHAL,01-Sep-2025 03:50 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3057305,HIMANSHU SEKHAR APAT,31-Aug-2025 10:15 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3048670,KHAGESWAR SAHU,25-Aug-2025 05:27 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3051378,LINANJALI PRADHAN,27-Aug-2025 04:07 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3048443,Lokanath sahu,25-Aug-2025 04:16 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3060158,SANTANU KUMAR PANI,02-Sep-2025 10:46 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3059957,SMRUTI RANJAN KHANDAI,01-Sep-2025 06:53 PM,Accepted-AOC,Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3051408,TARULATA SAHU,27-Aug-2025 04:40 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
