Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er. S R Parida SE,Internal,,Satya Ranjan Parida,15-Oct-2025 11:04 AM,techsummary_532365.pdf (812.33 KB),1,2862661,AKHANDALAMANI ELECTRICALS AND CONSTRUCTION,20-Mar-2025 12:53 PM,Rejected-AOC,Second lowest tenderer.,15-Oct-2025 11:14 AM,15-Oct-2025,"INR 3,022,572",90.0,Satya Ranjan Parida,15-Oct-2025 11:13 AM,3901aoc.pdf (1693.00 KB),Finance,The tender documents of all two bidders are under process,Amiya Kumar Mishra,21-Mar-2025 06:00 PM,,BOQ Comparative Chart,1.0,2862751.0,saraswati telesolutions,INR,"3,022,572",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,2025_EICCL_111387_1,S.E.-BNJ-RandB-39/2024-25,Shifting and Re erection Of HT/LT Line with Road Crossing Under Ground cable and LT Line at CH 45/200 to 45/800 Panchabhuti Due to Improvement Such as widening and strengthening of NJB Road SH-21 from 38/000 Km to 82/000Km in the District of Ganjam.,Er. S R Parida SE,Internal,,Satya Ranjan Parida,15-Oct-2025 11:07 AM,finsummary_532365.pdf (812.33 KB),AOC,"6,000",0.0,Nil,Nil,No,"35,600",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,S.E.-BNJ-RandB-39/2024-25,2025_EICCL_111387_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,06-Mar-2025 02:00 PM,21-Mar-2025 11:00 AM,06-Mar-2025 02:00 PM,20-Mar-2025 05:00 PM,06-Mar-2025 02:00 PM ,19-Mar-2025 05:00 PM ,06-Mar-2025 02:00 PM,20-Mar-2025 05:00 PM,Shifting and Re erection Of HT/LT Line with Road Crossing Under Ground cable and LT Line at CH 45/200 to 45/800 Panchabhuti Due to Improvement Such as widening and strengthening of NJB Road SH-21 from 38/000 Km to 82/000Km in the District of Ganjam.,Electrical work.,Please refer Tender documents. ,NA ,"35,55,549",Electrical Works,NA ,Tender,90.0,90.0,At Panchabhuti,761143.0,NA ,NA ,NA ,"O/o S.E, Bhanjanagar (RandB) Division, Bhanjanagar",No ,No,Superintending Engineer,"O/o S.E., Bhanjanagar (RandB) Division, Bhanjanagar",1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender Cost, EMD, Contractor RC, GST, PAN, Affidavits, other document as DTCN",AOC
,,,,,,2,2862751,saraswati telesolutions,20-Mar-2025 12:58 PM,Accepted-AOC,Saraswati telesolutions is accepted as first lowest tenderer.,15-Oct-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
